definition_wn,answer_wn,label,predicted_label,predicted_probability,definition,answer,surface,def_num_usable_synsets,ans_num_usable_synsets,distractor_source,cos_w1clue_w1all,cos_w1clue_w1common,cos_w1clue_w1obscure,cos_w1clue_w2all,cos_w1clue_w2common,cos_w1clue_w2obscure,wn_rel_hypernym,wn_rel_hypernym_of_hypernym,wn_rel_hypernym_of_hyponym,wn_rel_hyponym,wn_rel_hyponym_of_hypernym,wn_rel_hyponym_of_hyponym,wn_rel_hyponym_of_part_holonym,wn_rel_hyponym_of_part_meronym,wn_rel_member_meronym,wn_rel_member_meronym_of_member_holonym,wn_rel_part_holonym,wn_rel_part_holonym_of_hypernym,wn_rel_part_holonym_of_hyponym,wn_rel_part_holonym_of_part_meronym,wn_rel_part_meronym,wn_rel_part_meronym_of_hypernym,wn_rel_part_meronym_of_hyponym,wn_rel_substance_meronym,wn_rel_substance_meronym_of_hyponym,wn_rel_synonym,wn_max_path_sim,wn_shared_synset_count,surface_edit_distance,surface_length_ratio,surface_shared_first_letter,surface_char_overlap_ratio
mysterious,esoteric,1,0,0.25,mysterious,ESOTERIC,Drunk in middle of week? Lush endlessly mysterious,2,1,,0.8285395503044128,0.8082008361816406,0.7679733037948608,0.6783169507980347,0.6783169507980347,0.6783169507980347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.8,0,0.6
spots,rubella,1,0,0.5,Spots,RUBELLA,Spots beautiful Italian female following Rugby,21,1,,0.5586636662483215,0.2635152339935303,0.35739192366600037,0.4162967801094055,0.4162967801094055,0.4162967801094055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,7,0.7142857142857143,0,0.0
swimmer,ribbonfish,1,0,0.33,swimmer,RIBBONFISH,Support British on search for swimmer,2,2,,0.7433179020881653,0.7099186182022095,0.7431659698486328,0.5995336174964905,0.5942220091819763,0.5922549962997437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,10,0.7,0,0.2727272727272727
anxiety,stress,1,0,0.295,anxiety,STRESS,Small lock of hair causing anxiety,2,8,,0.8628225922584534,0.8317439556121826,0.8497230410575867,0.6006870269775391,0.5358375310897827,0.3472335636615753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0.8571428571428571,0,0.2222222222222222
puzzled,bemused,1,0,0.28,Puzzled,BEMUSED,Puzzled by birds that don’t fly into bed,3,3,,0.8359721899032593,0.7409992814064026,0.8066213130950928,0.7652909755706787,0.645243763923645,0.7978402376174927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,1.0,0,0.3333333333333333
chemical,acetaldehyde,1,0,0.115,Chemical,ACETALDEHYDE,Chemical expert sits on the deadly liquid,3,1,,0.9005693793296814,0.8345872759819031,0.8204785585403442,0.7920220494270325,0.7920220494270325,0.7920220494270325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,11,0.6666666666666666,0,0.5
animal,giraffe,1,0,0.185,animal,GIRAFFE,Accommodation housing one rare English animal,2,1,,0.8541800379753113,0.888922929763794,0.7185683250427246,0.6490911245346069,0.6490911245346069,0.6490911245346069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,6,0.8571428571428571,0,0.2222222222222222
dangerous,perilous,1,0,0.34,Dangerous,PERILOUS,"Dangerous fairy, mostly very bad",2,1,,0.7435557246208191,0.7495707273483276,0.6637026071548462,0.5667612552642822,0.5667612552642822,0.5667612552642822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.8888888888888888,0,0.4166666666666667
rather,pretty,1,0,0.275,Rather,PRETTY,Rather small-minded Republican brought in,4,3,,0.7149053812026978,0.5774005651473999,0.686766505241394,0.5542260408401489,0.5313986539840698,0.5649178624153137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,1.0,0,0.42857142857142855
template,stencil,1,0,0.21,template,STENCIL,"Plain concept is revolutionary, used regularly as template",1,2,,0.7956916093826294,0.7956911325454712,0.7956916093826294,0.586938738822937,0.49189257621765137,0.6285690069198608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,7,0.875,0,0.3
level,pitch,1,0,0.355,level,PITCH,A level  playing field,19,22,,0.5661033391952515,0.3140554428100586,0.3548162579536438,0.4240958094596863,0.285270631313324,0.2942406237125397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,1.0,0,0.0
earn,obtain,1,0,0.47,Earn,OBTAIN,"Earn duck, bat badly batting!",1,3,,0.7601873278617859,0.7601873278617859,0.7601873278617859,0.8284891843795776,0.7490168809890747,0.8327096700668335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,4,0.6666666666666666,0,0.25
country,tunisia,1,0,0.35,country,TUNISIA,Swimmer touring islands and one country,5,1,,0.8188251852989197,0.8539808988571167,0.7432832717895508,0.6624605059623718,0.6624605059623718,0.6624610424041748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,1.0,0,0.3
segregated,isolated,1,0,0.5,Segregated,ISOLATED,"Segregated, Oldie sat fidgeting",4,10,,0.7280102968215942,0.619124710559845,0.5920871496200562,0.783385157585144,0.6772682666778564,0.5405187606811523,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,6,0.8,0,0.5
cowboy,rancher,1,0,0.11,a cowboy,RANCHER,Was singer’s manager a cowboy?,3,1,,0.7758592367172241,0.722141683101654,0.7621365785598755,0.7114353179931641,0.7114356756210327,0.7114356756210327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,7,0.8571428571428571,0,0.1
grammarian,onions,1,0,0.475,Grammarian,ONIONS,"Grammarian gets one between legs, beginning to suffer",1,3,,0.559860348701477,0.559860348701477,0.5598598718643188,0.5171927213668823,0.500563383102417,0.4710637331008911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,9,0.6,0,0.25
focussed,concentrated,1,0,0.305,Focussed,CONCENTRATED,Focussed on a misleading description of homeopathic product?,2,13,,0.7143775224685669,0.7078125476837158,0.6628509759902954,0.6448760032653809,0.5264394283294678,0.46020808815956116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.6666666666666666,0,0.36363636363636365
fly,sprint,1,0,0.335,fly,SPRINT,Small type of fly,20,2,,0.5584152340888977,0.4746713638305664,0.29195523262023926,0.4733787775039673,0.5173091888427734,0.37476128339767456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0.5,0,0.0
disease,diabetes,1,0,0.185,disease,DIABETES,"Without egg, suffers disease",1,1,,0.8353156447410583,0.8353156447410583,0.8353153467178345,0.6141490936279297,0.6141491532325745,0.6141491532325745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0.875,1,0.7142857142857143
hash,lobscouse,1,0,0.43,hash,LOBSCOUSE,Inspiring science graduate can habitually take hash,3,1,,0.767021656036377,0.783212423324585,0.2979952096939087,0.5753507614135742,0.5753511190414429,0.5753507614135742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,8,0.4444444444444444,0,0.1111111111111111
building,tower_of_london,1,0,0.33,building,TOWER OF LONDON,Wooden floor collapsed in Tennessee building,14,1,,0.6822952628135681,0.927358865737915,0.1594722867012024,0.541480541229248,0.541480302810669,0.541480302810669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,13,0.5333333333333333,0,0.21428571428571427
stick,wand,1,0,0.455,Stick,WAND,Stick with pale daughter,25,4,,0.5890634655952454,0.1863619089126587,0.7462955117225647,0.2691890299320221,0.24302054941654205,0.2612278461456299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0.8,0,0.0
confine,localise,1,0,0.295,Confine,LOCALISE,Confine false allies holding company back,6,4,,0.7946799397468567,0.7205580472946167,0.6787266731262207,0.5826066732406616,0.5493746995925903,0.41641557216644287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0.875,0,0.4444444444444444
bird,chough,1,0,0.18,Bird,CHOUGH,"Bird: just a little chicken, but headless",6,1,,0.914574384689331,0.879345178604126,0.9071047306060791,0.8291704058647156,0.8291704058647156,0.8291704058647156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0.6666666666666666,0,0.0
signing,enlisting,1,0,0.44,Signing,ENLISTING,Signing letter in italics?,9,4,,0.7459592819213867,0.5931748151779175,0.6176842451095581,0.477524071931839,0.43338924646377563,0.43072158098220825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,0.7777777777777778,0,0.5714285714285714
siren,vamp,1,0,0.28,siren,VAMP,Volume on speaker for siren,5,7,,0.8504366874694824,0.6637488603591919,0.8356242179870605,0.5916700959205627,0.5277919173240662,0.7042756080627441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.8,0,0.0
advance,spread,1,0,0.5,advance,SPREAD,Odds studied in advance,20,23,,0.7499265670776367,0.6531778573989868,0.6529619693756104,0.5270500183105469,0.4461780786514282,0.28488874435424805,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.8571428571428571,0,0.3333333333333333
shock,trauma,1,0,0.34,shock,TRAUMA,Vehicle rounds bend before a shock,17,2,,0.7246837019920349,0.38799381256103516,0.3737606406211853,0.5120997428894043,0.5468778610229492,0.4354623556137085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,6,0.8333333333333334,0,0.0
for_sure,yeah,1,0,0.245,For sure,YEAH,The old expression of delight? For sure!,2,1,,0.8329183459281921,0.8202921748161316,0.8028591275215149,0.7045260071754456,0.7045261859893799,0.7045260667800903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.5,0,0.1
smarter,flasher,1,0,0.275,Smarter,FLASHER,Smarter pervert,7,3,,0.5622561573982239,0.5093881487846375,0.43085989356040955,0.48777687549591064,0.5470865964889526,0.3648449778556824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,4,1.0,0,0.4444444444444444
plant,okra,1,0,0.35,Plant,OKRA,Plant knocked over in dark office,10,3,,0.6237761974334717,0.38805514574050903,0.2697252929210663,0.6224370002746582,0.5271341800689697,0.5752339959144592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0.8,0,0.125
woozy,addle,1,0,0.495,woozy,ADDLE,Beer — doubled intake will make one woozy,1,2,,0.8216625452041626,0.8216626048088074,0.8216625452041626,0.5249172449111938,0.43624335527420044,0.47394081950187683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,1.0,0,0.0
appetising,toothsome,1,0,0.495,appetising,TOOTHSOME,Book accepting nothing host cooked will be appetising,1,3,,0.8097132444381714,0.8097132444381714,0.8097132444381714,0.6884858012199402,0.7190412282943726,0.47497063875198364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.9,0,0.2727272727272727
charming,pleasing,1,0,0.3,Charming,PLEASING,Quietly letting out … Charming!,6,5,,0.8154581785202026,0.7147413492202759,0.8051203489303589,0.8011349439620972,0.672676682472229,0.7436666488647461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,1.0,0,0.3333333333333333
mundane,earthly,1,0,0.325,Mundane,EARTHLY,Mundane truth without content breaking too soon,3,1,,0.7848398089408875,0.7213712334632874,0.6201910972595215,0.6359457969665527,0.6359434127807617,0.6359434127807617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,1.0,0,0.18181818181818182
fortress,citadel,1,0,0.345,fortress,CITADEL,Controlled a nervous movement up in fortress,1,1,,0.4314427971839905,0.4314427971839905,0.4314427971839905,0.46285754442214966,0.46285754442214966,0.46285754442214966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.875,0,0.18181818181818182
publicity,propaganda,1,0,0.34,Publicity,PROPAGANDA,"Publicity must have appropriate look, it’s said",2,1,,0.7121093273162842,0.7270074486732483,0.5169898271560669,0.6045395135879517,0.6045398116111755,0.6045398116111755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,9,0.9,1,0.07142857142857142
put_down,lain,1,0,0.425,Put down,LAIN,Put down using language that’s heartless,8,7,,0.6062803864479065,0.4981318712234497,0.5218806266784668,0.4325850009918213,0.291257381439209,0.32932353019714355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.5,0,0.09090909090909091
trouble,turmoil,1,0,0.37,trouble,TURMOIL,Bad rum involved in labour  trouble,11,3,,0.779633641242981,0.8608074188232422,0.2562447190284729,0.4795933961868286,0.48801082372665405,0.45447778701782227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,1.0,1,0.5555555555555556
well,properly,1,0,0.34,well,PROPERLY,"Work around cable, getting last of water for well",22,2,,0.40554505586624146,0.9069310426712036,0.15475893020629883,0.2249653935432434,0.22169604897499084,0.20101749897003174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.5,0,0.2857142857142857
fan,adherent,1,0,0.465,fan,ADHERENT,He will be embraced by wildly ardent fan,7,2,,0.6019311547279358,0.25470590591430664,0.19840502738952637,0.5241072177886963,0.630807101726532,0.2835919260978699,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.375,0,0.25
reptile,tortoise,1,0,0.19,Reptile,TORTOISE,Reptile in wrong French river,1,1,,0.614655613899231,0.614655613899231,0.614655613899231,0.5320538878440857,0.5320538878440857,0.5320537090301514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,0.875,0,0.5
complexity,depth,1,0,0.45,Complexity,DEPTH,Complexity of small section attached to hospital,1,6,,0.7565090656280518,0.7565090656280518,0.7565090656280518,0.7116096019744873,0.3363931179046631,0.5619547367095947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,8,0.5,0,0.25
magnificent,grand,1,0,0.25,Magnificent,GRAND,Magnificent golf managed by daughter,1,10,,0.8722329139709473,0.8722324967384338,0.8722324967384338,0.7706691026687622,0.5399622917175293,0.6696427464485168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.45454545454545453,0,0.2727272727272727
european,danish,1,0,0.285,European,DANISH,European province involved in strike,2,3,,0.812271237373352,0.6932240724563599,0.7711470127105713,0.6762667298316956,0.5552035570144653,0.699853777885437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.75,0,0.18181818181818182
about,savvying,1,0,0.405,about,SAVVYING,Discerning about Indian magazine in Gujarat's capital,8,1,,0.7686586380004883,0.7557358741760254,0.5335156917572021,0.5873647928237915,0.5873647928237915,0.5873647928237915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.625,0,0.09090909090909091
tent,wigwam,1,0,0.255,tent,WIGWAM,Rug with a minute tent,3,1,,0.6626817584037781,0.5061204433441162,0.6146838665008545,0.5510392189025879,0.5510392189025879,0.5510392189025879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,6,0.6666666666666666,0,0.0
inducement,bait,1,0,0.265,inducement,BAIT,I must go in club that offers inducement,2,5,,0.8205177783966064,0.7959284782409668,0.7759085893630981,0.6348848342895508,0.554641842842102,0.41279029846191406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,9,0.4,0,0.2
cleric,dean,1,0,0.415,cleric,DEAN,Place of vice probed by a cleric,1,4,,0.8673084378242493,0.8673084378242493,0.8673084378242493,0.5851902961730957,0.47523248195648193,0.6028221845626831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,0.6666666666666666,0,0.125
point,position,1,0,0.42,point,POSITION,The point of employment?,40,18,,0.623077392578125,0.28178220987319946,0.12021446228027344,0.7067863941192627,0.5158627033233643,0.5755589008331299,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,5,0.625,1,0.8333333333333334
boozer,shebeen,1,0,0.34,A boozer,SHEBEEN,"A boozer in her past, so to speak",1,1,,0.7729506492614746,0.7729496359825134,0.772949755191803,0.6174043416976929,0.6174049377441406,0.6174049377441406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,6,0.8571428571428571,0,0.25
cloaks,hides,1,0,0.49,Cloaks,HIDES,Cloaks made of skins,5,6,,0.65031898021698,0.5298997163772583,0.5245722532272339,0.5303503274917603,0.44819945096969604,0.3704284429550171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.8333333333333334,0,0.1
health_problems,ills,1,0,0.35,Health problems,ILLS,Health problems as medication’s losing initial power,1,1,,0.813693642616272,0.8136927485466003,0.8136927485466003,0.6426838636398315,0.6426821947097778,0.6426827907562256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,12,0.26666666666666666,0,0.15384615384615385
needle,syringe,1,0,0.19,needle,SYRINGE,Yes — worried about call for needle!,6,2,,0.8597816228866577,0.8022350072860718,0.8726931214332581,0.819168210029602,0.7628746032714844,0.8321272730827332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,6,0.8571428571428571,0,0.2222222222222222
tile,shingle,1,0,0.305,Tile,SHINGLE,Tile one laid outside hospital,4,4,,0.8073413372039795,0.8236364126205444,0.5788005590438843,0.6192200779914856,0.5926753282546997,0.45252203941345215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,0.5714285714285714,0,0.375
improve,look_up,1,0,0.465,Improve,LOOK UP,Improve visit,2,1,,0.7445995807647705,0.7956629395484924,0.6362683773040771,0.47657251358032227,0.47657251358032227,0.4765720069408417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,7,1.0,0,0.18181818181818182
rallied,herded,1,0,0.195,rallied,HERDED,Thought to ring doctor up and rallied,5,3,,0.8830763101577759,0.8008919954299927,0.8457513451576233,0.6907274127006531,0.5848240852355957,0.5930085182189941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,0.8571428571428571,0,0.42857142857142855
old-fashioned,feudal,1,0,0.465,Old-fashioned,FEUDAL,Old-fashioned fight with a student,1,1,,0.7230945825576782,0.7230949401855469,0.7230949401855469,0.5711025595664978,0.5711022615432739,0.5711025595664978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,12,0.46153846153846156,0,0.4166666666666667
advertise,boost,1,0,0.205,Advertise,BOOST,Advertise footwear with small promotion,2,8,,0.7353142499923706,0.5266414284706116,0.8113353252410889,0.5628682971000671,0.46779948472976685,0.5333229303359985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,8,0.5555555555555556,0,0.2
get_up,ascend,1,0,0.3,Get up,ASCEND,Get up when caught on object,8,8,,0.8577427864074707,0.8624110221862793,0.6625685095787048,0.7213590145111084,0.7892588376998901,0.6387940049171448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,1.0,0,0.09090909090909091
denunciation,satire,1,0,0.18,Denunciation,SATIRE,"Denunciation sent up via veritas vita, essentially",1,1,,0.7490383386611938,0.7490387558937073,0.7490383386611938,0.5546039342880249,0.5546039342880249,0.5546039342880249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0.5,0,0.36363636363636365
figure,pyramid,1,0,0.365,Figure,PYRAMID,Figure Penny has fake army ID,18,7,,0.7557612061500549,0.4654630124568939,0.2778940200805664,0.4892497658729553,0.42075344920158386,0.48699021339416504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0.8571428571428571,0,0.18181818181818182
bender,arc,1,0,0.49,Bender,ARC,"Bender that couples went on in ancient times, it’s said",3,4,,0.7319592833518982,0.5175285339355469,0.5727984309196472,0.49826765060424805,0.5549473762512207,0.3467758893966675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,6,0.5,0,0.14285714285714285
logs,timber,1,0,0.13,logs,TIMBER,River traps a thousand logs,7,5,,0.667242705821991,0.6084896326065063,0.6401799321174622,0.6003724336624146,0.5348970890045166,0.5308907628059387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,6,0.6666666666666666,0,0.0
young_man,boy,1,0,0.45,young man,BOY,Nothing in Times for young man,2,4,,0.8278344869613647,0.8176508545875549,0.8014886975288391,0.7656981945037842,0.7263286709785461,0.7892059087753296,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.3333333333333333,0,0.2222222222222222
city,singapore,1,0,0.325,City,SINGAPORE,City celebrate an opening,3,3,,0.8026934266090393,0.68650221824646,0.7494018077850342,0.6051654815673828,0.5879773497581482,0.5917351841926575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.4444444444444444,0,0.08333333333333333
brawl,ruck,1,0,0.47,brawl,RUCK,"Hit, throwing stone in brawl",3,3,,0.6974986791610718,0.6717804670333862,0.4630349278450012,0.5064260959625244,0.40834957361221313,0.3715425729751587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,4,0.8,0,0.125
scout,scourer,1,0,0.155,Scout,SCOURER,Scout company with more secure netting,4,2,,0.7615739107131958,0.792282223701477,0.5089314579963684,0.655971884727478,0.5963960886001587,0.607556939125061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3,0.7142857142857143,1,0.5714285714285714
bad,wicked,1,0,0.28,Bad,WICKED,Bad  adjective for a candle?,17,5,,0.7642854452133179,0.6541351079940796,0.5808804035186768,0.6633831262588501,0.6827250719070435,0.5924723148345947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.5,0,0.125
unstructured,freestyle,1,0,0.195,Unstructured,FREESTYLE,Unstructured  Flyer tees off,2,1,,0.6654117107391357,0.5722066760063171,0.652927041053772,0.7358171343803406,0.7358171343803406,0.7358174324035645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,10,0.75,0,0.36363636363636365
complete,end-to-end,1,0,0.34,Complete,END-TO-END,Complete stop by noted criminal,10,2,,0.6968108415603638,0.3883243799209595,0.739004909992218,0.5197087526321411,0.39400625228881836,0.5728227496147156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.8,0,0.3
vile,obnoxious,1,0,0.315,Vile,OBNOXIOUS,"Vile smell around American seen outside Number 10, repeatedly",2,1,,0.8176034688949585,0.8459444642066956,0.49690237641334534,0.6203956604003906,0.6203951835632324,0.6203951835632324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.4444444444444444,0,0.1
capsule,seedcase,1,0,0.455,capsule,SEEDCASE,Watch patient eating date capsule,9,1,,0.47318458557128906,0.4010505676269531,0.4420551061630249,0.36791664361953735,0.3679165244102478,0.36791664361953735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,7,0.875,0,0.5
clumsy,graceless,1,0,0.325,clumsy,GRACELESS,Good not to run so much when clumsy,4,3,,0.7982617616653442,0.7590237855911255,0.6768146753311157,0.6334600448608398,0.6222601532936096,0.6216183304786682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.6666666666666666,0,0.3
capital,tripoli,1,0,0.355,Capital,TRIPOLI,"Capital tour to west of oil-rig, oddly",11,3,,0.6986909508705139,0.3107611835002899,0.42053306102752686,0.6309283971786499,0.2851206362247467,0.64226895570755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,1.0,0,0.5
see,get,1,0,0.29,See,GET,See odd parts of Ghent,25,37,,0.8217204213142395,0.8355990648269653,0.48810672760009766,0.5940380692481995,0.46531906723976135,0.371127724647522,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,2,1.0,0,0.25
duck,skip,1,0,0.42,duck,SKIP,Sailor having left tuna and duck,8,8,,0.7054378986358643,0.8269742727279663,0.24010822176933289,0.3722388744354248,0.38622456789016724,0.2370913326740265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,1.0,0,0.14285714285714285
unprincipled,godless,1,0,0.335,Unprincipled,GODLESS,Unprincipled little man enters gallery,2,1,,0.8047364950180054,0.7591355443000793,0.7495831251144409,0.7963829636573792,0.7963829636573792,0.7963829636573792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,11,0.5833333333333334,0,0.25
wake_up,enliven,1,0,0.31,Wake up,ENLIVEN,Wake up in French quarter — outside as it happens,2,2,,0.5505795478820801,0.522436261177063,0.5425023436546326,0.49477195739746094,0.4674084782600403,0.497944712638855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,1.0,0,0.09090909090909091
dance,reel,1,0,0.435,dance,REEL,Victor snubbed in party dance,7,9,,0.8002148270606995,0.8182054758071899,0.6462696194648743,0.569678008556366,0.38120782375335693,0.35639888048171997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,0.8,0,0.14285714285714285
cancellation,reversal,1,0,0.24,cancellation,REVERSAL,Show containing rears ends in cancellation,2,8,,0.8249071836471558,0.7823940515518188,0.8300342559814453,0.6602875590324402,0.5336146354675293,0.4379228353500366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,10,0.6666666666666666,0,0.2727272727272727
