source,field,raw,publisher,series,setter,confidence,notes
fifteensquared,puzzle_name_trailing,boatman fifty variations on an original theme,,,Boatman,High,Puzzle title appended to setter name; normalized to Boatman.
fifteensquared,puzzle_name_trailing,maskarade late summer prize cryptic crossword,,,Maskarade,High,Puzzle title appended to setter name; normalized to Maskarade.
fifteensquared,puzzle_name_trailing,donk last ever,,,Donk,High,Puzzle title appended to setter name; normalized to Donk.
fifteensquared,puzzle_name_trailing,araucauria,,,Araucaria,High,Misspelling of Araucaria.
fifteensquared,puzzle_name_trailing,aardvard,,,Aardvark,High,Misspelling of Aardvark.
fifteensquared,puzzle_name_trailing,chifone,,,Chifonie,High,Misspelling of Chifonie.
fifteensquared,puzzle_name_trailing,hynos,,,Hypnos,High,Misspelling of Hypnos.
fifteensquared,puzzle_name_trailing,laroso,,,Loroso,High,Misspelling of Loroso.
fifteensquared,puzzle_name_trailing,payfair,,,,High,Misspelling of Playfair; maps to Azed special type.
fifteensquared,puzzle_name_trailing,guardian,,,,High,Publisher leaked into setter field; no setter present.
fifteensquared,puzzle_name_trailing,anon,,,,High,No setter present.
fifteensquared,puzzle_name_trailing,with picture quiz,,,,High,Blog post feature label appended after setter name; not setter information. Strip.
fifteensquared,puzzle_name_trailing,plain competition puzzle,,Plain,Azed,High,"Azed special format label; setter = Azed, series = Plain."
fifteensquared,puzzle_name_trailing,nestor,,,Nestor,High,"Confirmed Independent setter; real name Roger Phillips, member of the Times setting team. (fifteensquared.net)"
fifteensquared,puzzle_name_trailing,mitz,,,Mitz,High,Confirmed Independent setter; debut September 2016. Also known as Guardian crossword statistician on fifteensquared. (fifteensquared.net)
fifteensquared,puzzle_name_trailing,bucko,,,Bucko,High,Confirmed Independent setter; described as a relatively new compiler in 2015 with multiple puzzles blogged. (fifteensquared.net)
times_xwd_times,puzzle_name_leading,times,The Times,Times Cryptic,,High,UK (British English). Anonymous setters; strict Ximenean-adjacent house style. Mon-Fri daily plus Saturday prize. (Wikipedia)
times_xwd_times,puzzle_name_leading,times jumbo,The Times,Jumbo,,High,UK (British English). 23x23 Saturday jumbo puzzle. (Wikipedia)
times_xwd_times,puzzle_name_leading,jumbo,The Times,Jumbo,,High,UK (British English). Truncated variant of Times Jumbo.
times_xwd_times,puzzle_name_leading,times quick,The Times,Quick Cryptic,,High,UK (British English). Introduced March 2014; smaller easier version of the main daily cryptic designed for beginners. (Wikipedia)
times_xwd_times,puzzle_name_leading,qc,The Times,Quick Cryptic,,High,UK (British English). Abbreviation for Quick Cryptic.
times_xwd_times,puzzle_name_leading,saturday times,The Times,Weekend Cryptic,,High,UK (British English). Saturday prize cryptic.
times_xwd_times,puzzle_name_leading,times saturday,The Times,Weekend Cryptic,,High,UK (British English). Variant label for Saturday prize cryptic.
times_xwd_times,puzzle_name_leading,sunday times,Sunday Times,Sunday Times Cryptic,,High,UK (British English). Difficulty very similar to The Times daily cryptic. (fifteensquared.net)
times_xwd_times,puzzle_name_leading,mephisto,Sunday Times,Mephisto,,High,UK (British English). Advanced barred-grid cryptic in the Sunday Times; team of setters including Don Manley Tim Moorey and Paul McKenna. Higher difficulty than standard cryptic. (bestforpuzzles.com)
times_xwd_times,puzzle_name_leading,monthly club special,The Times,Monthly Club Special,,High,UK (British English). Extremely difficult monthly puzzle for Times Crossword Club subscribers; uses obscure Chambers vocabulary; described as Championship level. (timesforthetimes.co.uk)
times_xwd_times,puzzle_name_leading,club monthly,The Times,Monthly Club Special,,High,UK (British English). Variant label for Monthly Club Special.
times_xwd_times,puzzle_name_leading,tls crossword,Times Literary Supplement,TLS Crossword,,High,UK (British English). Mix of easy cryptic clues and arts/literature general knowledge; can be obscure. TLS is a fortnightly literary review published by News UK; originated as a Times supplement in 1902. (timesforthetimes.co.uk; Wikipedia)
times_xwd_times,puzzle_name_leading,sunday times christmas,Sunday Times,Christmas Special,,High,UK (British English). Special seasonal puzzle; typically a large 23x23 grid often set by Dean Mayer. (times-xwd-times.livejournal.com)
times_xwd_times,puzzle_name_leading,sunday times christmas extra,Sunday Times,Christmas Extra,,High,UK (British English). Variant of the Sunday Times Christmas special.
times_xwd_times,puzzle_name_leading,times bank holiday jumbo,The Times,Jumbo,,High,UK (British English). Bank holiday special Jumbo edition.
times_xwd_times,puzzle_name_leading,bank holiday jumbo,The Times,Jumbo,,High,UK (British English). Truncated variant.
times_xwd_times,puzzle_name_leading,times boxing day jumbo,The Times,Jumbo,,High,UK (British English). Boxing Day special Jumbo.
times_xwd_times,puzzle_name_leading,boxing day jumbo,The Times,Jumbo,,High,UK (British English). Truncated variant.
times_xwd_times,puzzle_name_leading,summer bank holiday jumbo,The Times,Jumbo,,High,UK (British English). Summer bank holiday special Jumbo.
times_xwd_times,puzzle_name_leading,easter monday bank holiday jumbo,The Times,Jumbo,,High,UK (British English). Easter Monday special Jumbo.
times_xwd_times,puzzle_name_leading,dean mayer,Sunday Times,,Dean Mayer,High,UK (British English). Sunday Times setter known for creative wordplay and higher-than-average difficulty. Setter name used as puzzle_name; malformed. (times-xwd-times.livejournal.com)
times_xwd_times,puzzle_name_leading,mephist,Sunday Times,Mephisto,,High,Misspelling of Mephisto.
times_xwd_times,puzzle_name_leading,times quick ctyptic,The Times,Quick Cryptic,,High,Misspelling of cryptic.
times_xwd_times,puzzle_name_leading,tmes quick,The Times,Quick Cryptic,,High,Misspelling of Times.
times_xwd_times,puzzle_name_leading,times quickie,The Times,Quick Cryptic,,High,Informal variant label.
times_xwd_times,puzzle_name_leading,quick,The Times,Quick Cryptic,,High,Truncated label.
times_xwd_times,puzzle_name_leading,times crossword,The Times,Times Cryptic,,High,Variant label.
times_xwd_times,puzzle_name_leading,times number,The Times,Times Cryptic,,Medium,Number is a puzzle number prefix; maps to Times Cryptic.
times_xwd_times,puzzle_name_leading,times no,The Times,Times Cryptic,,High,No is puzzle number prefix.
times_xwd_times,puzzle_name_leading,times jumbo no,The Times,Jumbo,,High,No is puzzle number prefix.
times_xwd_times,puzzle_name_leading,times saturday no,The Times,Weekend Cryptic,,High,No is puzzle number prefix.
times_xwd_times,puzzle_name_leading,sunday times no,Sunday Times,Sunday Times Cryptic,,High,No is puzzle number prefix.
times_xwd_times,puzzle_name_leading,monthly club special no,The Times,Monthly Club Special,,High,No is puzzle number prefix.
times_xwd_times,puzzle_name_leading,times quick crossword no,The Times,Quick Cryptic,,High,Variant label with number prefix.
times_xwd_times,puzzle_name_leading,times quick no,The Times,Quick Cryptic,,High,No is puzzle number prefix.
times_xwd_times,puzzle_name_leading,quick no,The Times,Quick Cryptic,,High,Truncated label with number prefix.
times_xwd_times,puzzle_name_leading,quick number,The Times,Quick Cryptic,,High,Truncated label with number prefix.
times_xwd_times,puzzle_name_leading,qcc,The Times,Quick Cryptic,,Medium,Likely Quick Cryptic Club variant; low count (26 rows).
times_xwd_times,puzzle_name_leading,saturday,,Weekend Cryptic,,Medium,Stray comma variant; malformed Saturday entry.
times_xwd_times,puzzle_name_leading,times quick crossword,The Times,Quick Cryptic,,High,Unreachable previously; trailing 'no' stripped before lookup leaving this token.
thehinducrosswordcorner,puzzle_name_leading,the sunday crossword,The Hindu,Sunday Crossword,,High,India (Indian English). Sunday edition crossword series in The Hindu.
thehinducrosswordcorner,puzzle_name_leading,thee sunday crossword,The Hindu,Sunday Crossword,,High,Misspelling of The Sunday Crossword.
thehinducrosswordcorner,puzzle_name_leading,the sunday crosword,The Hindu,Sunday Crossword,,High,Misspelling of The Sunday Crossword.
thehinducrosswordcorner,puzzle_name_leading,n,The Hindu,,,Low,Truncated No; malformed.
thehinducrosswordcorner,puzzle_name_leading,"the sunday crossword, sunday",The Hindu,Sunday Crossword,,High,Sunday Crossword variant where the day name is appended after a comma.
thehinducrosswordcorner,puzzle_name_trailing,arden,,,Arden,High,India (Indian English). The Hindu setter; known for smooth clue surfaces. (crosswordunclued.com)
thehinducrosswordcorner,puzzle_name_trailing,gridman,,,Gridman,High,India (Indian English). Pseudonym of C.G. Rishikesh; one of the longest-serving Hindu setters joining the panel in 2001. (thehinducrosswordcorner.blogspot.com)
thehinducrosswordcorner,puzzle_name_trailing,incognito,,,Incognito,High,India (Indian English). Pseudonym of Kishore Rao; known as the gentlest Hindu setter; uses multilingual puns. (crosswordunclued.com)
thehinducrosswordcorner,puzzle_name_trailing,afterdark,,,Afterdark,High,India (Indian English). The Hindu setter; also appears as aFTERDARK on the blog (stylistic only).
thehinducrosswordcorner,puzzle_name_trailing,dr. x,,,Dr. X,High,India (Indian English). Pseudonym of Dr. Satyen Nabar; also sets for Hindustan Times as Bone Setter. (thehinducrosswordcorner.blogspot.com)
thehinducrosswordcorner,puzzle_name_trailing,neyartha,,,Neyartha,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,vulcan,,,Vulcan,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,lightning,,,Lightning,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,anon,,,,High,Pre-2008 anonymous puzzle; The Hindu began carrying setters bylines only in 2008. (crosswordunclued.com)
thehinducrosswordcorner,puzzle_name_trailing,buzzer,,,Buzzer,High,India (Indian English). The Hindu setter; known for empathy toward solvers. (crosswordunclued.com)
thehinducrosswordcorner,puzzle_name_trailing,xchequer,,,xChequer,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,sunnet,,,Sunnet,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,spinner,,,Spinner,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,kriskross,,,KrisKross,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,hypatia,,,Hypatia,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,scintillator,,,Scintillator,High,India (Indian English). Pseudonym of Shyam; the word scintillating impressed him at age ten in The Hindu sports column. (crosswordunclued.com)
thehinducrosswordcorner,puzzle_name_trailing,skulldugger,,,Skulldugger,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,the phantom,,,The Phantom,High,India (Indian English). Identified by a blog commenter as Raghu. (thehinducrosswordcorner.blogspot.com)
thehinducrosswordcorner,puzzle_name_trailing,aspartame,,,Aspartame,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,avtaar,,,Avtaar,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,karaoke,,,Karaoke,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,bruno,,,Bruno,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,gussalufz,,,Gussalufz,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,exa,,,Exa,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,vidwan,,,Vidwan,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,mac,,,Mac,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,wrdplougher,,,WrdPlougher,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,dreamer,,,Dreamer,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,anitya,,,Anitya,High,India (Indian English). The Hindu setter.
thehinducrosswordcorner,puzzle_name_trailing,klue klux klan,,,Klue Klux Klan,High,India (Indian English). The Hindu setter pseudonym; 28 rows.
thehinducrosswordcorner,puzzle_name_trailing,skuldugger,,,Skulldugger,High,Misspelling of Skulldugger.
thehinducrosswordcorner,puzzle_name_trailing,"dr. x,",,,Dr. X,High,Stray comma variant of Dr. X; normalize to Dr. X.
thehinducrosswordcorner,puzzle_name_trailing,dr x,,,Dr. X,High,Missing period variant of Dr. X.
thehinducrosswordcorner,puzzle_name_trailing,"dr, x,",,,Dr. X,High,Punctuation variant of Dr. X; normalize to Dr. X.
thehinducrosswordcorner,puzzle_name_trailing,scinitillator,,,Scintillator,High,Misspelling of Scintillator.
thehinducrosswordcorner,puzzle_name_trailing,"spinner,",,,Spinner,High,Stray comma variant of Spinner; normalize to Spinner.
thehinducrosswordcorner,puzzle_name_trailing,phantom,,,The Phantom,High,Truncated variant of The Phantom.
thehinducrosswordcorner,puzzle_name_trailing,from the files of sankalak,,,Sankalak,High,Posthumously published Sankalak puzzles; special series label appearing as trailing text after the date field.
thebrowser,source_url_trailing,ries,,,Ries,High,USA (North American English). Regular Browser contributor; full name Andrew J. Ries. (Amazon)
thebrowser,source_url_trailing,zawistowski,,,Zawistowski,High,USA (North American English). Regular Browser contributor; full name Stella Zawistowski. (Amazon)
thebrowser,source_url_trailing,cardin,,,Cardin,High,USA (North American English). Regular Browser contributor; full name Nate Cardin. (Amazon)
thebrowser,source_url_trailing,nediger,,,Nediger,High,USA (North American English). Regular Browser contributor; full name Will Nediger. (Amazon)
thebrowser,source_url_trailing,pasco,,,Pasco,High,USA (North American English). Regular Browser contributor; full name Paolo Pasco. (Amazon)
thebrowser,source_url_trailing,goodchild,,,Goodchild,High,USA (North American English). Regular Browser contributor; full name Sara Goodchild. (Amazon)
thebrowser,source_url_trailing,mossberg,,,Mossberg,High,USA (North American English). Regular Browser contributor; full name Steve Mossberg. (Amazon)
thebrowser,source_url_trailing,brian,,,Brian,High,USA (North American English). Guest contributor; full name Ori Brian. (Amazon)
thebrowser,source_url_trailing,quigley,,,Quigley,High,USA (North American English). Guest contributor; full name Brendan Emmett Quigley. (Amazon)
thebrowser,source_url_trailing,hawkins,,,Hawkins,High,USA (North American English). Guest contributor; full name Kate Hawkins. (Amazon)
thebrowser,source_url_trailing,jacobs goodchild,,,Jacobs|Goodchild,High,USA (North American English). Collaborative puzzle; A.J. Jacobs and Sara Goodchild. (Amazon)
thebrowser,source_url_trailing,roedernediger,,,Roeder|Nediger,High,USA (North American English). Collaborative puzzle; Oliver Roeder and Will Nediger. (Amazon)
thebrowser,source_url_trailing,geller,,,Geller,High,USA (North American English). Guest contributor; full name Lily Geller. (Amazon)
thebrowser,source_url_trailing,fabi,,,Fabi,High,USA (North American English). Guest contributor; full name Rachel Fabi. (Amazon)
thebrowser,source_url_trailing,- ries,,,Ries,High,Stray dash; normalized to Ries.
thebrowser,source_url_trailing,vu,,,Vu,High,USA (North American English). Guest contributor; full name Hoang-Kim Vu. (Amazon)
thebrowser,source_url_trailing,simpson,,,Simpson,Medium,USA (North American English). Not identified in Amazon book listings; likely a guest contributor.
