word,row,synset_name,phrase,self_ref
bassist,4188,bassist.n.01,<t>bassist</t>: a musician who play the bass viol,False
bassists,4189,bassist.n.01,<t>bassists</t>: a musician who play the bass viol,False
basso,4190,bass.n.03,<t>basso</t>: an adult male singer with the lowest voice,False
basso_profundo,4191,basso_profundo.n.01,<t>basso profundo</t>: a very deep bass voice,False
bassoon,4192,bassoon.n.01,<t>bassoon</t>: a double-reed instrument; the tenor of the oboe family,False
bassoonist,4193,bassoonist.n.01,<t>bassoonist</t>: a musician who plays the bassoon,False
bassoons,4194,bassoon.n.01,<t>bassoons</t>: a double-reed instrument; the tenor of the oboe family,False
bastard,4195,asshole.n.01,<t>bastard</t>: insulting terms of address for people who are stupid or irritating or ridiculous,False
bastardise,4196,bastardize.v.01,"<t>bastardise</t>: change something so that its value declines; for example, art forms",False
bastardly,4197,bastardly.s.01,<t>bastardly</t>: born out of wedlock; - E.A.Freeman,False
baste,4198,baste.n.01,<t>baste</t>: a loose temporary sewing stitch to hold layers of fabric together,False
bastille,4199,bastille.n.01,"<t>bastille</t>: a fortress built in Paris in the 14th century and used as a prison in the 17th and 18th centuries; it was destroyed July 14, 1789 at the start of the French Revolution",False
bastille_day,4200,bastille_day.n.01,<t>bastille day</t>: a legal holiday in France celebrating the storming of the Paris bastille in 1789,False
bastinado,4201,bastinado.n.01,<t>bastinado</t>: a cudgel used to give someone a beating on the soles of the feet,False
bastion,4202,bastion.n.01,<t>bastion</t>: a group that defends a principle,False
bastions,4203,bastion.n.01,<t>bastions</t>: a group that defends a principle,False
bat,4204,bat.n.01,<t>bat</t>: nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,False
batch,4205,batch.n.01,<t>batch</t>: all the loaves of bread baked at the same time,False
bate,4206,bate.v.01,<t>bate</t>: moderate or restrain; lessen the force of,False
bated,4207,bate.v.01,<t>bated</t>: moderate or restrain; lessen the force of,False
bath,4208,bath.n.01,<t>bath</t>: a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it),False
bath_chair,4209,bath_chair.n.01,"<t>bath chair</t>: a wheelchair usually pushed by an attendant, as at a spa",False
bath_towel,4210,bath_towel.n.01,<t>bath towel</t>: a large towel; to dry yourself after a bath,False
bath_water,4211,bath_water.n.01,<t>bath water</t>: water used for a bath,False
bathe,4212,bathe.n.01,<t>bathe</t>: the act of swimming,False
bather,4213,swimmer.n.02,<t>bather</t>: a person who travels through the water by swimming,False
bathing_cap,4214,bathing_cap.n.01,<t>bathing cap</t>: a tight-fitting cap that keeps hair dry while swimming,False
bathing_costume,4215,swimsuit.n.01,<t>bathing costume</t>: tight fitting garment worn for swimming,False
bathing_suit,4216,swimsuit.n.01,<t>bathing suit</t>: tight fitting garment worn for swimming,False
bathing_suits,4217,swimsuit.n.01,<t>bathing suits</t>: tight fitting garment worn for swimming,False
bathos,4218,bathos.n.01,<t>bathos</t>: triteness or triviality of style,False
bathrobe,4219,bathrobe.n.01,<t>bathrobe</t>: a loose-fitting robe of towelling; worn after a bath or swim,False
bathroom,4220,bathroom.n.01,<t>bathroom</t>: a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,False
bathroom_cleaner,4221,bathroom_cleaner.n.01,<t>bathroom cleaner</t>: a preparation for cleaning bathrooms,False
bathroom_fixture,4222,bathroom_fixture.n.01,<t>bathroom fixture</t>: any fixture in a bathroom,False
baths,4223,bath.n.01,<t>baths</t>: a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it),False
batik,4224,batik.n.01,<t>batik</t>: a dyed fabric; a removable wax is used where the dye is not wanted,False
batiste,4225,batiste.n.01,<t>batiste</t>: a thin plain-weave cotton or linen fabric; used for shirts or dresses,False
batman,4226,batman.n.01,<t>batman</t>: an orderly assigned to serve a British military officer,False
baton,4227,baton.n.01,<t>baton</t>: a thin tapered rod used by a conductor to lead an orchestra or choir,False
batons,4228,baton.n.01,<t>batons</t>: a thin tapered rod used by a conductor to lead an orchestra or choir,False
bats,4229,bat.n.01,<t>bats</t>: nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,False
batsman,4230,batter.n.01,<t>batsman</t>: (baseball) a ballplayer who is batting,False
battalion,4231,battalion.n.01,<t>battalion</t>: an army unit usually consisting of a headquarters and three or more companies,False
batten,4232,batting.n.02,<t>batten</t>: stuffing made of rolls or sheets of cotton wool or synthetic fiber,False
batter,4233,batter.n.01,<t>batter</t>: (baseball) a ballplayer who is batting,False
battered,4234,buffet.v.01,<t>battered</t>: strike against forcefully,False
battering,4235,battering.n.01,<t>battering</t>: the act of subjecting to strong attack,False
battering_rams,4236,battering_ram.n.01,<t>battering rams</t>: a ram used to break down doors of fortified buildings,False
batters,4237,batter.n.01,<t>batters</t>: (baseball) a ballplayer who is batting,False
battery,4238,battery.n.01,<t>battery</t>: group of guns or missile launchers operated together at one place,False
battiest,4239,balmy.s.01,<t>battiest</t>: informal or slang terms for mentally irregular,False
batting,4240,batting.n.01,<t>batting</t>: (baseball) the batter's attempt to get on base,False
battle,4241,battle.n.01,<t>battle</t>: a hostile meeting of opposing military forces in the course of a war,False
battle-axe,4242,battle-ax.n.02,<t>battle-axe</t>: a sharp-tongued domineering wife,False
battle-axes,4243,battle-ax.n.02,<t>battle-axes</t>: a sharp-tongued domineering wife,False
battle-scarred,4244,battle-scarred.s.01,<t>battle-scarred</t>: scarred by battle,False
battle_cruiser,4245,battle_cruiser.n.01,<t>battle cruiser</t>: a cruiser of maximum speed and firepower,False
battle_of_britain,4246,battle_of_britain.n.01,<t>battle of britain</t>: the prolonged bombardment of British cities by the German Luftwaffe during World War II and the aerial combat that accompanied it,False
battle_of_wits,4247,battle_of_wits.n.01,<t>battle of wits</t>: a contest in which intelligence rather than violence is used,False
battled,4248,battle.v.01,<t>battled</t>: battle or contend against in or as if in a battle,False
battledore,4249,badminton_racket.n.01,<t>battledore</t>: a light long-handled racket used by badminton players,False
battlefield,4250,battlefield.n.01,<t>battlefield</t>: a region where a battle is being (or has been) fought,False
battleground,4251,battlefield.n.01,<t>battleground</t>: a region where a battle is being (or has been) fought,False
battlegrounds,4252,battlefield.n.01,<t>battlegrounds</t>: a region where a battle is being (or has been) fought,False
battlement,4253,battlement.n.01,<t>battlement</t>: a rampart built around the top of a castle with regular gaps for firing arrows or guns,False
battles,4254,battle.n.01,<t>battles</t>: a hostile meeting of opposing military forces in the course of a war,False
battleship,4255,battleship.n.01,<t>battleship</t>: large and heavily armoured warship,False
battling,4256,battle.v.01,<t>battling</t>: battle or contend against in or as if in a battle,False
batty,4257,balmy.s.01,<t>batty</t>: informal or slang terms for mentally irregular,False
bauble,4258,bauble.n.01,<t>bauble</t>: a mock scepter carried by a court jester,False
baubles,4259,bauble.n.01,<t>baubles</t>: a mock scepter carried by a court jester,False
baudelaire,4260,baudelaire.n.01,<t>baudelaire</t>: a French poet noted for macabre imagery and evocative language (1821-1867),False
bauhaus,4261,bauhaus.n.01,<t>bauhaus</t>: a German style of architecture begun by Walter Gropius in 1918,False
baulks,4262,balk.n.01,<t>baulks</t>: the area on a billiard table behind the balkline,False
bauxite,4263,bauxite.n.01,<t>bauxite</t>: a clay-like mineral; the chief ore of aluminum; composed of aluminum oxides and aluminum hydroxides; used as an abrasive and catalyst,False
bavaria,4264,bavaria.n.01,<t>bavaria</t>: a state in southern Germany famous for its beer; site of an automobile factory,False
bavarian,4265,bavarian.n.01,<t>bavarian</t>: a native or an inhabitant of Bavaria,False
bawbee,4266,bawbee.n.01,<t>bawbee</t>: an old Scottish coin of little value,False
bawdily,4267,bawdily.r.01,<t>bawdily</t>: in a bawdy manner,False
bawdy,4268,bawdry.n.01,<t>bawdy</t>: lewd or obscene talk or writing,False
bawl,4269,bawl.v.01,<t>bawl</t>: shout loudly and without restraint,False
bawled,4270,bawl.v.01,<t>bawled</t>: shout loudly and without restraint,False
bay,4271,bay.n.01,<t>bay</t>: an indentation of a shoreline larger than a cove but smaller than a gulf,False
bay_laurel,4272,true_laurel.n.01,<t>bay laurel</t>: small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors,False
bay_leaf,4273,bay_leaf.n.01,<t>bay leaf</t>: dried leaf of the bay laurel,False
bay_tree,4274,true_laurel.n.01,<t>bay tree</t>: small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors,False
bay_trees,4275,true_laurel.n.01,<t>bay trees</t>: small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors,False
bay_window,4276,pot.n.07,<t>bay window</t>: slang for a paunch,False
bayed,4277,bay.v.01,<t>bayed</t>: utter in deep prolonged tones,False
bayonet,4278,bayonet.n.01,<t>bayonet</t>: a knife that can be fixed to the end of a rifle and used as a weapon,False
bays,4279,bay.n.01,<t>bays</t>: an indentation of a shoreline larger than a cove but smaller than a gulf,False
bazaar,4280,bazaar.n.01,<t>bazaar</t>: a shop where a variety of goods are sold,False
bazooka,4281,bazooka.n.01,<t>bazooka</t>: a portable rocket launcher used by infantrymen as an antitank weapon,False
be,4282,beryllium.n.01,<t>be</t>: a light strong brittle grey toxic bivalent metallic element,False
be-all_and_end-all,4283,be-all_and_end-all.n.01,<t>be-all and end-all</t>: the essential factor; the all-important element; the supreme aim,False
be_born,4284,be_born.v.01,<t>be born</t>: come into existence through birth,False
be_due,4285,be_due.v.01,<t>be due</t>: be the result of,False
be_full,4286,be_full.v.01,"<t>be full</t>: be sated, have enough to eat",False
be_given,4287,tend.v.01,<t>be given</t>: have a tendency or disposition to do or be something; be inclined,False
be_quiet,4288,close_up.v.04,<t>be quiet</t>: refuse to talk or stop talking; fall silent,False
be_sick,4289,vomit.v.01,<t>be sick</t>: eject the contents of the stomach through the mouth,False
beach,4290,beach.n.01,<t>beach</t>: an area of sand sloping down to the water of a sea or lake,False
beach_buggy,4291,dune_buggy.n.01,<t>beach buggy</t>: a recreational vehicle with large tires used on beaches or sand dunes,False
beachwear,4292,beachwear.n.01,<t>beachwear</t>: clothing to be worn at a beach,False
beacon,4293,beacon.n.01,<t>beacon</t>: a fire (usually on a hill or tower) that can be seen from a distance,False
beaconed,4294,beacon.v.01,<t>beaconed</t>: shine like a beacon,False
beacons,4295,beacon.n.01,<t>beacons</t>: a fire (usually on a hill or tower) that can be seen from a distance,False
bead,4296,bead.n.01,<t>bead</t>: a small ball with a hole through the middle,False
beading,4297,beading.n.01,<t>beading</t>: ornamentation with beads,False
beadle,4298,beadle.n.01,<t>beadle</t>: a minor parish official who serves a ceremonial function,False
beads,4299,beads.n.01,<t>beads</t>: several beads threaded together on a string,True
beagle,4300,beagle.n.01,<t>beagle</t>: a small short-legged smooth-coated breed of hound,False
beagles,4301,beagle.n.01,<t>beagles</t>: a small short-legged smooth-coated breed of hound,False
beak,4302,beak.n.01,"<t>beak</t>: beaklike mouth of animals other than birds (e.g., turtles)",False
beaker,4303,beaker.n.01,<t>beaker</t>: a flatbottomed jar made of glass or plastic; used for chemistry,False
beakers,4304,beaker.n.01,<t>beakers</t>: a flatbottomed jar made of glass or plastic; used for chemistry,False
beaks,4305,beak.n.01,"<t>beaks</t>: beaklike mouth of animals other than birds (e.g., turtles)",False
beam,4306,radio_beam.n.01,<t>beam</t>: a signal transmitted along a narrow path; guides airplane pilots in darkness or bad weather,False
beamed,4307,beam.v.01,<t>beamed</t>: smile radiantly; express joy through one's facial expression,False
beaming,4308,beam.v.01,<t>beaming</t>: smile radiantly; express joy through one's facial expression,False
beamish,4309,beamish.s.01,<t>beamish</t>: smiling with happiness or optimism; - Lewis Carroll,False
beams,4310,radio_beam.n.01,<t>beams</t>: a signal transmitted along a narrow path; guides airplane pilots in darkness or bad weather,False
bean,4311,bean.n.01,<t>bean</t>: any of various edible seeds of plants of the family Leguminosae used for food,False
bean_counter,4312,bean_counter.n.01,<t>bean counter</t>: an accountant or bureaucrat who is believed to place undue emphasis on the control of expenditures,False
bean_curd,4313,bean_curd.n.01,<t>bean curd</t>: cheeselike food made of curdled soybean milk,False
bean_tree,4314,bean_tree.n.01,<t>bean tree</t>: any of several trees having seedpods as fruits,False
beanbag,4315,beanbag.n.01,<t>beanbag</t>: a small cloth bag filled with dried beans; thrown in games,False
beanfeast,4316,beanfeast.n.01,<t>beanfeast</t>: an annual dinner party given by an employer for the employees,False
beanie,4317,beanie.n.01,<t>beanie</t>: a small skullcap; formerly worn by schoolboys and college freshmen,False
beano,4318,lotto.n.01,<t>beano</t>: a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards,False
beanos,4319,lotto.n.01,<t>beanos</t>: a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards,False
beans,4320,bean.n.01,<t>beans</t>: any of various edible seeds of plants of the family Leguminosae used for food,False
bear,4321,bear.n.01,<t>bear</t>: massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,False
bear_down,4322,drag_down.v.01,<t>bear down</t>: exert a force with a heavy weight,False
bear_down_on,4323,bear_down_on.v.01,"<t>bear down on</t>: sail towards another vessel, of a ship",False
bear_hugs,4324,bear_hug.n.01,<t>bear hugs</t>: a wrestling hold with arms locked tightly around the opponent,False
bear_in_mind,4325,mind.v.06,<t>bear in mind</t>: keep in mind,False
bear_out,4326,corroborate.v.03,<t>bear out</t>: support with evidence or authority or make more certain or confirm,False
bear_up,4327,bear_up.v.01,<t>bear up</t>: endure cheerfully,False
bear_witness,4328,testify.v.02,<t>bear witness</t>: provide evidence for,False
bearable,4329,bearable.s.01,<t>bearable</t>: capable of being borne though unpleasant,False
bearcat,4330,binturong.n.01,<t>bearcat</t>: arboreal civet of Asia having a long prehensile tail and shaggy black hair,False
bearcats,4331,binturong.n.01,<t>bearcats</t>: arboreal civet of Asia having a long prehensile tail and shaggy black hair,False
beard,4332,beard.n.01,<t>beard</t>: the hair growing on the lower part of a man's face,False
bearded,4333,beard.v.01,"<t>bearded</t>: go along the rim, like a beard around the chin",False
beardless,4334,beardless.s.01,<t>beardless</t>: having no beard,False
beards,4335,beard.n.01,<t>beards</t>: the hair growing on the lower part of a man's face,False
bearer,4336,carrier.n.01,<t>bearer</t>: someone whose employment involves carrying something,False
bearing,4337,bearing.n.01,<t>bearing</t>: relevant relation or interconnection,False
bearings,4338,bearing.n.01,<t>bearings</t>: relevant relation or interconnection,False
bearnaise,4339,bearnaise.n.01,<t>bearnaise</t>: a sauce like hollandaise but made with white wine and tarragon and shallots instead of lemon juice,False
bears,4340,bear.n.01,<t>bears</t>: massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,False
bearskin,4341,bearskin.n.01,<t>bearskin</t>: the pelt of a bear (sometimes used as a rug),False
beast,4342,animal.n.01,<t>beast</t>: a living organism characterized by voluntary movement,False
beast_of_burden,4343,beast_of_burden.n.01,<t>beast of burden</t>: an animal such as a donkey or ox or elephant used for transporting loads or doing other heavy work,False
beastly,4344,beastly.s.01,<t>beastly</t>: very unpleasant,False
beasts,4345,animal.n.01,<t>beasts</t>: a living organism characterized by voluntary movement,False
beat,4346,beat.n.01,<t>beat</t>: a regular route for a sentry or policeman,False
beat-up,4347,battered.s.01,<t>beat-up</t>: damaged by blows or hard usage,False
beat_a_retreat,4348,beat_a_retreat.v.01,<t>beat a retreat</t>: depart hastily,False
beat_around_the_bush,4349,beat_around_the_bush.v.01,<t>beat around the bush</t>: be deliberately ambiguous or unclear in order to mislead or withhold information,False
beat_back,4350,repel.v.01,<t>beat back</t>: cause to move back by force or influence,False
beat_out,4351,beat.v.01,"<t>beat out</t>: come out better in a competition, race, or conflict",False
beat_up,4352,beat.v.02,"<t>beat up</t>: give a beating to; subject to a beating, either as a punishment or as an act of aggression",False
beaten,4353,beat.v.01,"<t>beaten</t>: come out better in a competition, race, or conflict",False
beaten-up,4354,battered.s.01,<t>beaten-up</t>: damaged by blows or hard usage,False
beater,4355,beater.n.01,<t>beater</t>: a worker who rouses wild game from under cover for a hunter,False
beatific,4356,beatific.s.01,<t>beatific</t>: experiencing or bestowing celestial joy,False
beating,4357,beating.n.01,<t>beating</t>: the act of overcoming or outdoing,False
beatings,4358,beating.n.01,<t>beatings</t>: the act of overcoming or outdoing,False
beatitude,4359,blessedness.n.01,<t>beatitude</t>: a state of supreme happiness,False
beatles,4360,beatles.n.01,<t>beatles</t>: a rock group from Liverpool who between 1962 and 1970 produced a variety of hit songs and albums (most of them written by Paul McCartney and John Lennon),False
beatnik,4361,beatnik.n.01,<t>beatnik</t>: a member of the beat generation; a nonconformist in dress and behavior,False
beatniks,4362,beat_generation.n.01,"<t>beatniks</t>: a United States youth subculture of the 1950s; rejected possessions or regular work or traditional dress; for communal living and psychedelic drugs and anarchism; favored modern forms of jazz (e.g., bebop)",False
beatrice,4363,beatrice.n.01,<t>beatrice</t>: the woman who guided Dante through Paradise in the Divine Comedy,False
beats,4364,beat_generation.n.01,"<t>beats</t>: a United States youth subculture of the 1950s; rejected possessions or regular work or traditional dress; for communal living and psychedelic drugs and anarchism; favored modern forms of jazz (e.g., bebop)",False
beau,4365,boyfriend.n.01,<t>beau</t>: a man who is the lover of a girl or young woman,False
beau_geste,4366,beau_geste.n.01,<t>beau geste</t>: a gracious (but usually meaningless) gesture,False
beaujolais,4367,beaujolais.n.01,<t>beaujolais</t>: dry fruity light red wine drunk within a few months after it is made; from the Beaujolais district in southeastern France,True
beaut,4368,beauty.n.03,<t>beaut</t>: an outstanding example of its kind,False
beauteous,4369,beauteous.s.01,"<t>beauteous</t>: (poetic )beautiful, especially to the sight",False
beautician,4370,beautician.n.01,<t>beautician</t>: someone who works in a beauty parlor,False
beauties,4371,beauty.n.01,<t>beauties</t>: the qualities that give pleasure to the senses,False
beautification,4372,beautification.n.01,<t>beautification</t>: the act of making something more beautiful,False
beautified,4373,fancify.v.01,<t>beautified</t>: make more beautiful,False
beautiful,4374,beautiful.a.01,<t>beautiful</t>: delighting the senses or exciting intellectual or emotional admiration,False
beautify,4375,fancify.v.01,<t>beautify</t>: make more beautiful,False
beauty,4376,beauty.n.01,<t>beauty</t>: the qualities that give pleasure to the senses,False
beauty_parlour,4377,salon.n.02,<t>beauty parlour</t>: a shop where hairdressers and beauticians work,False
beauty_parlours,4378,salon.n.02,<t>beauty parlours</t>: a shop where hairdressers and beauticians work,False
beauty_sleep,4379,beauty_sleep.n.01,<t>beauty sleep</t>: sleep before midnight,False
beauty_spot,4380,beauty_spot.n.01,<t>beauty spot</t>: a spot that is worn on a lady's face for adornment,False
beauty_treatment,4381,beauty_treatment.n.01,<t>beauty treatment</t>: enhancement of someone's personal beauty,False
beaux,4382,boyfriend.n.01,<t>beaux</t>: a man who is the lover of a girl or young woman,False
beaver,4383,beaver.n.01,<t>beaver</t>: the soft brown fur of the beaver,True
beavering,4384,beaver.v.01,<t>beavering</t>: work hard on something,False
beavers,4385,beaver.n.01,<t>beavers</t>: the soft brown fur of the beaver,False
bebop,4386,bop.n.02,<t>bebop</t>: an early form of modern jazz (originating around 1940),False
becalm,4387,steady.v.01,<t>becalm</t>: make steady,False
becalmed,4388,steady.v.01,<t>becalmed</t>: make steady,False
became,4389,become.v.01,<t>became</t>: enter or assume a certain state or condition,False
bechamel,4390,white_sauce.n.01,<t>bechamel</t>: milk thickened with a butter and flour roux,False
bechamel_sauce,4391,white_sauce.n.01,<t>bechamel sauce</t>: milk thickened with a butter and flour roux,False
beck,4392,beck.n.01,<t>beck</t>: a beckoning gesture,False
becket,4393,becket.n.01,<t>becket</t>: (Roman Catholic Church) archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170),False
beckett,4394,beckett.n.01,<t>beckett</t>: a playwright and novelist (born in Ireland) who lived in France; wrote plays for the theater of the absurd (1906-1989),False
beckon,4395,beckon.v.01,<t>beckon</t>: signal with the hands or nod,False
beckoned,4396,beckon.v.01,<t>beckoned</t>: signal with the hands or nod,False
beckons,4397,beckon.v.01,<t>beckons</t>: signal with the hands or nod,False
becloud,4398,obscure.v.01,<t>becloud</t>: make less visible or unclear,False
become,4399,become.v.01,<t>become</t>: enter or assume a certain state or condition,False
becomes,4400,become.v.01,<t>becomes</t>: enter or assume a certain state or condition,False
becoming,4401,become.v.01,<t>becoming</t>: enter or assume a certain state or condition,False
bed,4402,bed.n.01,<t>bed</t>: a piece of furniture that provides a place to sleep,False
bed-hop,4403,bed-hop.v.01,<t>bed-hop</t>: be sexually active with more than one partner,False
bed_cover,4404,bedspread.n.01,<t>bed cover</t>: decorative cover for a bed,False
bed_linen,4405,bed_linen.n.01,<t>bed linen</t>: linen or cotton articles for a bed (as sheets and pillowcases),False
bed_of_roses,4406,rose_bed.n.01,<t>bed of roses</t>: a flower bed in which roses are growing,False
bed_rest,4407,bedrest.n.01,<t>bed rest</t>: confinement to bed continuously (as in the case of some sick or injured persons),False
bed_sheet,4408,sheet.n.03,<t>bed sheet</t>: bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs,False
bed_sheets,4409,sheet.n.03,<t>bed sheets</t>: bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs,False
bedaub,4410,bedaub.v.01,<t>bedaub</t>: spread or daub (a surface),False
bedaubed,4411,bedaub.v.01,<t>bedaubed</t>: spread or daub (a surface),False
bedaubing,4412,bedaub.v.01,<t>bedaubing</t>: spread or daub (a surface),False
bedazzle,4413,dazzle.v.01,"<t>bedazzle</t>: to cause someone to lose clear vision, especially from intense light",False
bedazzled,4414,dazzle.v.01,"<t>bedazzled</t>: to cause someone to lose clear vision, especially from intense light",False
bedazzles,4415,dazzle.v.01,"<t>bedazzles</t>: to cause someone to lose clear vision, especially from intense light",False
bedbug,4416,bedbug.n.01,<t>bedbug</t>: bug of temperate regions that infests especially beds and feeds on human blood,False
bedchamber,4417,bedroom.n.01,<t>bedchamber</t>: a room used primarily for sleeping,False
bedcover,4418,bedspread.n.01,<t>bedcover</t>: decorative cover for a bed,False
bedded,4419,bed.v.01,<t>bedded</t>: furnish with a bed,False
bedding,4420,bedclothes.n.01,<t>bedding</t>: coverings that are used on a bed,False
bedding_material,4421,bedding_material.n.01,<t>bedding material</t>: material used to provide a bed for animals,False
bedding_plant,4422,bedder.n.01,<t>bedding plant</t>: an ornamental plant suitable for planting in a flowerbed,False
bede,4423,bede.n.01,<t>bede</t>: (Roman Catholic Church) English monk and scholar (672-735),False
bedeck,4424,deck.v.02,<t>bedeck</t>: decorate,False
bedecked,4425,deck.v.02,<t>bedecked</t>: decorate,False
bedevil,4426,torment.v.02,<t>bedevil</t>: treat cruelly,False
bedevilled,4427,torment.v.02,<t>bedevilled</t>: treat cruelly,False
bedevilment,4428,badgering.n.01,<t>bedevilment</t>: the act of harassing someone,False
bedevils,4429,torment.v.02,<t>bedevils</t>: treat cruelly,False
bedewed,4430,bedew.v.01,<t>bedewed</t>: cover with drops of dew or as with dew,False
bedewing,4431,bedew.v.01,<t>bedewing</t>: cover with drops of dew or as with dew,False
bedews,4432,bedew.v.01,<t>bedews</t>: cover with drops of dew or as with dew,False
bedfellow,4433,bedfellow.n.01,<t>bedfellow</t>: a temporary associate,False
bedfellows,4434,bedfellow.n.01,<t>bedfellows</t>: a temporary associate,False
bedframe,4435,bedstead.n.01,<t>bedframe</t>: the framework of a bed,False
bedimmed,4436,benight.v.03,<t>bedimmed</t>: make darker and difficult to perceive by sight,False
bedims,4437,benight.v.03,<t>bedims</t>: make darker and difficult to perceive by sight,False
bedlam,4438,chaos.n.01,<t>bedlam</t>: a state of extreme confusion and disorder,False
bedouin,4439,bedouin.n.01,<t>bedouin</t>: a member of a nomadic tribe of Arabs,False
bedraggle,4440,bedraggle.v.01,"<t>bedraggle</t>: make wet and dirty, as from rain",False
bedraggled,4441,bedraggle.v.01,"<t>bedraggled</t>: make wet and dirty, as from rain",False
bedrests,4442,bedrest.n.01,<t>bedrests</t>: confinement to bed continuously (as in the case of some sick or injured persons),False
bedridden,4443,bedfast.s.01,<t>bedridden</t>: confined to bed (by illness),False
bedrock,4444,bedrock.n.01,<t>bedrock</t>: solid unweathered rock lying beneath surface deposits of soil,False
bedroll,4445,bedroll.n.01,<t>bedroll</t>: bedding rolled up for carrying,False
bedroom,4446,bedroom.n.01,<t>bedroom</t>: a room used primarily for sleeping,False
bedroom_suite,4447,bedroom_suite.n.01,<t>bedroom suite</t>: a suite of furniture for the bedroom,False
beds,4448,bed.n.01,<t>beds</t>: a piece of furniture that provides a place to sleep,False
bedsit,4449,bedsitting_room.n.01,<t>bedsit</t>: a furnished sitting room with sleeping accommodations (and some plumbing),False
bedsitter,4450,bedsitting_room.n.01,<t>bedsitter</t>: a furnished sitting room with sleeping accommodations (and some plumbing),False
bedsitters,4451,bedsitting_room.n.01,<t>bedsitters</t>: a furnished sitting room with sleeping accommodations (and some plumbing),False
bedspread,4452,bedspread.n.01,<t>bedspread</t>: decorative cover for a bed,False
bedspreads,4453,bedspread.n.01,<t>bedspreads</t>: decorative cover for a bed,False
bedstead,4454,bedstead.n.01,<t>bedstead</t>: the framework of a bed,False
bedstraw,4455,bedstraw.n.01,<t>bedstraw</t>: any of several plants of the genus Galium,False
bee,4456,bee.n.01,<t>bee</t>: any of numerous hairy-bodied insects including social and solitary species,False
bee_orchid,4457,bee_orchid.n.01,<t>bee orchid</t>: European orchid whose flowers resemble bumble bees in shape and color,False
beech,4458,beech.n.01,<t>beech</t>: any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions,False
beeches,4459,beech.n.01,<t>beeches</t>: any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions,False
beechwood,4460,beech.n.02,<t>beechwood</t>: wood of any of various beech trees; used for flooring and containers and plywood and tool handles,False
beef,4461,beef.n.01,<t>beef</t>: cattle that are reared for their meat,False
beef_stew,4462,beef_stew.n.01,<t>beef stew</t>: a stew made with beef,False
beef_stock,4463,beef_broth.n.01,<t>beef stock</t>: a stock made with beef,False
beef_stroganoff,4464,beef_stroganoff.n.01,<t>beef stroganoff</t>: sauteed strips of beef and mushrooms in sour cream sauce served with noodles,False
beef_tea,4465,beef_tea.n.01,<t>beef tea</t>: an extract of beef (given to people who are ill),False
beef_up,4466,strengthen.v.01,<t>beef up</t>: make strong or stronger,False
beef_wellington,4467,beef_wellington.n.01,<t>beef wellington</t>: rare-roasted beef tenderloin coated with mushroom paste in puff pastry,False
beefalo,4468,cattalo.n.01,<t>beefalo</t>: hardy breed of cattle resulting from crossing domestic cattle with the American buffalo; yields leaner beef than conventional breeds,False
beefburger,4469,hamburger.n.01,"<t>beefburger</t>: a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients",False
beefburgers,4470,hamburger.n.01,"<t>beefburgers</t>: a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients",False
beefcake,4471,beefcake.n.01,<t>beefcake</t>: a photograph of a muscular man in minimal attire,False
beefeater,4472,yeoman.n.01,<t>beefeater</t>: officer in the (ceremonial) bodyguard of the British monarch,False
beefeaters,4473,yeoman.n.01,<t>beefeaters</t>: officer in the (ceremonial) bodyguard of the British monarch,False
beefed,4474,gripe.v.01,<t>beefed</t>: complain,False
beefiest,4475,beefy.s.01,<t>beefiest</t>: muscular and heavily built,False
beefs,4476,beef.n.01,<t>beefs</t>: cattle that are reared for their meat,False
beefsteak,4477,beefsteak.n.01,<t>beefsteak</t>: a beef steak usually cooked by broiling,False
beefy,4478,beefy.s.01,<t>beefy</t>: muscular and heavily built,False
beehive,4479,beehive.n.01,<t>beehive</t>: any workplace where people are very busy,False
