clue_id,definition,answer_wn,distractor_wn,anchor,positive,negative
158318,heartbeat,pulse_rate,funk,Real upset organised in a <t>heartbeat</t>,<t>pulse rate</t>: the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health,<t>funk</t>: a state of nervous depression
158323,Plant,sisal,urns,<t>Plant</t> starts to show improved safety after lecture,<t>sisal</t>: a plant fiber used for making rope,<t>urns</t>: a large vase that usually has a pedestal or feet
158329,Film,shaft,crepe,<t>Film</t> some of mine,<t>shaft</t>: a line that forms the length of an arrow pointer,<t>crepe</t>: paper with a crinkled texture; usually colored and used for decorations
158332,Piece,man,platter,<t>Piece</t> of blancmange,<t>man</t>: an adult person who is male (as opposed to a woman),<t>platter</t>: a large shallow dish used for serving food
158340,sacked,fired,bused,Old curse about right director being <t>sacked</t>,<t>fired</t>: start firing a weapon,<t>bused</t>: send or move around by bus
158348,Slam,hammer,bump,<t>Slam</t> source of horror films?,<t>hammer</t>: the part of a gunlock that strikes the percussion cap when the trigger is pulled,<t>bump</t>: a lump on the body caused by a blow
158354,a marine animal,porpoise,annelid,"By the sound of it, defective balance in <t>a marine animal</t>",<t>porpoise</t>: any of several small gregarious cetacean mammals having a blunt snout and many teeth,<t>annelid</t>: worms with cylindrical bodies segmented both internally and externally
158363,suspension,abeyance,internment,A bishop to observe hosting African party gets <t>suspension</t>,<t>abeyance</t>: temporary cessation or suspension,<t>internment</t>: confinement during wartime
158365,Bullfighter,torero,ruffians,<t>Bullfighter</t> held up in bolero rottenly,<t>torero</t>: a matador or one of the supporting team during a bull fight,<t>ruffians</t>: a cruel and brutal fellow
158378,stay,suspension,resided,Head of state visiting America given funds for <t>stay</t>,<t>suspension</t>: a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy,<t>resided</t>: make one's home in a particular place or community
158383,test,assessment,evaluating,Blockheads dispatched to take first part of maths <t>test</t>,<t>assessment</t>: the classification of someone or something with respect to its worth,"<t>evaluating</t>: evaluate or estimate the nature, quality, ability, extent, or significance of"
158386,president,kennedy,commissioner,Clue about points awarded to Democratic <t>president</t>,<t>kennedy</t>: 35th President of the United States; established the Peace Corps; assassinated in Dallas (1917-1963),<t>commissioner</t>: a government administrator
158387,Letter,epsilon,aerogram,<t>Letter</t> from Poles in translation,<t>epsilon</t>: the 5th letter of the Greek alphabet,<t>aerogram</t>: a letter sent by air mail
158389,swelling,dropsy,ruffles,Medic leading operation on extremely squidgy <t>swelling</t>,"<t>dropsy</t>: swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities",<t>ruffles</t>: a strip of pleated material used as a decoration or a trim
158393,study,read,audit,Bachelor leaving food in <t>study</t>,<t>read</t>: something that is read,<t>audit</t>: an inspection of the accounting procedures and records by a trained accountant or CPA
158403,Lazy,idle,stout,<t>Lazy</t> brother abandoning check,<t>idle</t>: the state of an engine or other mechanism that is idling,<t>stout</t>: a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
158404,cosmetic,face_cream,bodily,Prophetic fearful cry we hear is <t>cosmetic</t>,<t>face cream</t>: a cream used cosmetically (mostly by women) for softening and cleaning the skin,<t>bodily</t>: of or relating to or belonging to the body
158406,river,tiber,garonne,Row around black <t>river</t>,<t>tiber</t>: a river of central Italy; flows through Rome to the Tyrrhenian Sea,<t>garonne</t>: a river that rises in the Pyrenees and flows northwest to the Bay of Biscay
158409,Card game,solo,no-trump,"<t>Card game</t> very basic, did you say?",<t>solo</t>: any activity that is performed alone without assistance,<t>no-trump</t>: a version of contract bridge in which no suit is designated as trump for the duration of the hand
158412,side,lateral,niche,Some declare talent comes from the right <t>side</t>,<t>lateral</t>: a pass to a receiver upfield from the passer,<t>niche</t>: a position particularly well suited to the person who occupies it
158414,Tramp,tart,leaper,<t>Tramp</t> is bitter,<t>tart</t>: a woman who engages in sexual intercourse for money,<t>leaper</t>: someone who bounds or leaps (as in competition)
158416,Singer,balladeer,comedian,"<t>Singer</t>, a hoofer joining the party?",<t>balladeer</t>: a singer of popular ballads,<t>comedian</t>: a professional performer who tells jokes and performs comical acts
158424,Show,matinee,betray,<t>Show</t> a prong piercing me,<t>matinee</t>: a theatrical performance held during the daytime (especially in the afternoon),<t>betray</t>: reveal unintentionally
158425,Drain,pump,spray,<t>Drain</t> shoe,<t>pump</t>: a mechanical device that moves fluid or gas by pressure or suction,<t>spray</t>: a pesticide in suspension or solution; intended for spraying
158425,shoe,pump,shoestring,Drain <t>shoe</t>,<t>pump</t>: a mechanical device that moves fluid or gas by pressure or suction,<t>shoestring</t>: a lace used for fastening shoes
158440,Incorporate,embody,unify,<t>Incorporate</t> dome by reconstruction,<t>embody</t>: represent in bodily form,<t>unify</t>: become one
158446,Tease,rib,scuff,<t>Tease</t> about Eve’s origins?,<t>rib</t>: support resembling the rib of an animal,<t>scuff</t>: a slipper that has no fitting around the heel
158450,Run,manage,bounces,<t>Run</t> a horse in Maine,<t>manage</t>: be successful; achieve a goal,<t>bounces</t>: the quality of a substance that is able to rebound
158452,Instruments,flutes,keyboard,<t>Instruments</t> still playable without their heads,<t>flutes</t>: a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,<t>keyboard</t>: device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
158455,Refuse,turn_down,vetoing,<t>Refuse</t> to fold over the sheet,<t>turn down</t>: refuse to accept,<t>vetoing</t>: vote against; refuse to endorse; refuse to assent
158468,reverse,back_up,wadding,Support in <t>reverse</t>,"<t>back up</t>: give moral or psychological support, aid, or courage to",<t>wadding</t>: any material used especially to protect something
158469,Fame,renown,beauty,<t>Fame</t> secure now? No question about it,<t>renown</t>: the state or quality of being widely honored and acclaimed,<t>beauty</t>: the qualities that give pleasure to the senses
158475,Cheese,emmental,toffee,<t>Cheese</t> measure’s ridiculous,<t>emmental</t>: Swiss cheese with large holes,<t>toffee</t>: caramelized sugar cooled in thin sheets
158477,grasped,fathomed,recognised,Thick domestic maid finally <t>grasped</t>,<t>fathomed</t>: come to understand,<t>recognised</t>: show approval or appreciation of
158489,Leave,go_away,freed,<t>Leave</t> Indian resort on street,<t>go away</t>: move away from a place into another direction,<t>freed</t>: grant freedom to; free from confinement
158492,Improbable,unlikely,unusual,<t>Improbable</t> form of energy in a French plant,<t>unlikely</t>: not likely to be true or to occur or to have occurred,<t>unusual</t>: not usual or common or ordinary
158498,Factory,flour_mill,bauhaus,<t>Factory</t> made by (4 ÷ 50) + (1049 ÷ 50),<t>flour mill</t>: a mill for grinding grain into flour,<t>bauhaus</t>: a German style of architecture begun by Walter Gropius in 1918
158509,Figure,trapezium,nick,<t>Figure</t> Trump a bum to hug his outspoken easy one,<t>trapezium</t>: a quadrilateral with no parallel sides,<t>nick</t>: an impression in a surface (as made by a blow)
158520,Tease,rib,shaven,<t>Tease</t> royal’s firstborn,<t>rib</t>: support resembling the rib of an animal,<t>shaven</t>: remove body hair with a razor
158529,back,champion,skirt,Gold medallist is <t>back</t>,<t>champion</t>: someone who has won first place in a competition,<t>skirt</t>: cloth covering that forms the part of a garment below the waist
158530,Guide,advise,monitors,<t>Guide</t> I saved after a mauling,<t>advise</t>: give advice to,<t>monitors</t>: someone who supervises (an examination)
158535,nation,belarus,guyanese,"Stomach about full, ultimately, with American <t>nation</t>",<t>belarus</t>: a landlocked republic in eastern Europe; formerly a European soviet,<t>guyanese</t>: a native or inhabitant of Guyana
158536,Jolly,festive,anserine,"<t>Jolly</t> unusual set among with-it children, literally?",<t>festive</t>: offering fun and gaiety,<t>anserine</t>: of or resembling a goose
158537,Queen,rani,dons,<t>Queen</t> ruled over India for a start,<t>rani</t>: (the feminine of raja) a Hindu princess or the wife of a raja,<t>dons</t>: a Spanish gentleman or nobleman
158541,Baptist,washer,votaries,<t>Baptist</t> ring,<t>washer</t>: someone who washes things for a living,<t>votaries</t>: one bound by vows to a religion or life of worship or service
158542,Loud,strident,ghastly,<t>Loud</t> weapon behind bow of ship,<t>strident</t>: conspicuously and offensively loud; given to vehement outcry,<t>ghastly</t>: shockingly repellent; inspiring horror
158547,cold weather,hail,stalemate,British ultimately having to suffer <t>cold weather</t>,<t>hail</t>: precipitation of ice pellets when there are strong rising air currents,<t>stalemate</t>: a situation in which no progress can be made or no advancement is possible
158560,Second,moment,double,<t>Second</t> warning in case of misconduct,<t>moment</t>: a particular point in time,<t>double</t>: a base hit on which the batter stops safely at second base
158562,drier,desiccant,bluer,Accidents in tumble <t>drier</t>,"<t>desiccant</t>: a substance that promotes drying (e.g., calcium oxide absorbs water and is used to remove moisture)",<t>bluer</t>: of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky; - Helen Hunt Jackson
158569,poison,envenom,aphrodisiac,Right-wingers in Europe warn M15 about <t>poison</t>,<t>envenom</t>: cause to be bitter or resentful,<t>aphrodisiac</t>: a drug or other agent that stimulates sexual desire
158573,bear,go_through,prepossess,Visigoth roughly restraining <t>bear</t>,<t>go through</t>: go or live through,<t>prepossess</t>: possess beforehand
158581,Punch,thump,scuffs,<t>Punch</t> end of recalcitrant camel’s protruberance,<t>thump</t>: a heavy dull sound (as made by impact of heavy objects),<t>scuffs</t>: a slipper that has no fitting around the heel
158587,freezer,cryogen,thermos,Blubber gone bad in <t>freezer</t>,<t>cryogen</t>: a liquid that boils at below -160 C and is used as a refrigerant,<t>thermos</t>: vacuum flask that preserves temperature of hot or cold drinks
158625,Warning,beware,reproof,<t>Warning</t> from worker about fight,<t>beware</t>: be on one's guard; be cautious or wary about; be alert to,<t>reproof</t>: an act or expression of criticism and censure
158631,Roof,dome,verandas,<t>Roof</t> party I object to,<t>dome</t>: a concave shape whose distinguishing characteristic is that the concavity faces downward,<t>verandas</t>: a porch along the outside of a building (sometimes partly enclosed)
158632,unpleasant,disagreeable,gladsome,Released a big eruption – it’s <t>unpleasant</t>,<t>disagreeable</t>: not to your liking,<t>gladsome</t>: experiencing or expressing gladness or joy
158634,One,unit,nine,<t>One</t> upper-class twit,<t>unit</t>: any division of quantity accepted as a standard of measurement or exchange,<t>nine</t>: the cardinal number that is the sum of eight and one
158635,voices,choir,noise,Love to be surrounded by unusual rich <t>voices</t>,<t>choir</t>: a chorus that sings as part of a religious ceremony,<t>noise</t>: sound of any kind (especially unintelligible or dissonant sound)
158636,Obscenity,smut,devilry,<t>Obscenity</t> that turns stomachs,<t>smut</t>: a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink,<t>devilry</t>: wicked and cruel behavior
158639,Gain,interest,endowments,<t>Gain</t> attention without hesitation in trial,<t>interest</t>: a sense of concern with and curiosity about someone or something,<t>endowments</t>: natural abilities or qualities
158641,Sincere,bona_fide,obdurate,<t>Sincere</t> Latin,<t>bona fide</t>: undertaken in good faith,<t>obdurate</t>: stubbornly persistent in wrongdoing
158661,Stout,mighty,stale,<t>Stout</t> from May to end of July,<t>mighty</t>: having or showing great strength or force or intensity; ; ; - Bulwer-Lytton,"<t>stale</t>: urinate, of cattle and horses"
158705,join,ally,aligns,Idiot has no wife to <t>join</t>,<t>ally</t>: a friendly nation,<t>aligns</t>: place in a line or arrange so as to be parallel or straight
158710,Champion,supporter,corbett,<t>Champion</t> consumers of alcohol may do so,<t>supporter</t>: a person who backs a politician or a team etc.,<t>corbett</t>: United States heavyweight boxing champion (1866-1933)
158712,Provide,fix_up,ascribe,<t>Provide</t> header for forward with team back on top,<t>fix up</t>: find (something or someone) for,<t>ascribe</t>: attribute or credit to
158807,Smarmy,oily,nasty,"<t>Smarmy</t>, jovially but regularly self-effacing",<t>oily</t>: containing an unusual amount of grease or oil,<t>nasty</t>: offensive or even (of persons) malicious; ; ; ; ; ; - Ezra Pound
158858,study,read,test,American blocking communist <t>study</t>,<t>read</t>: something that is read,<t>test</t>: trying something to find out about it
158859,Opening,start,lighting,"<t>Opening</t>, headline act drops container",<t>start</t>: the beginning of anything,<t>lighting</t>: having abundant light or illumination
158868,Adequate,satisfactory,fill,<t>Adequate</t> soldiers receive note on plant,<t>satisfactory</t>: giving satisfaction,<t>fill</t>: a quantity sufficient to satisfy
158871,Make fun,deride,make_out,<t>Make fun</t> – remove dodgems?,<t>deride</t>: treat or speak of with contempt,<t>make out</t>: detect with the senses
158874,Discussion,forum,dissection,<t>Discussion</t> class welcomes you at last,<t>forum</t>: a public meeting or assembly for open discussion,<t>dissection</t>: cutting so as to separate into pieces
158882,hat,fedora,headpiece,Not completely wild about party <t>hat</t>,<t>fedora</t>: a hat made of felt with a creased crown,<t>headpiece</t>: the band that is the part of a bridle that fits around a horse's head
158891,damned,accursed,castrate,<t>Damned</t> used car explodes outside club,<t>accursed</t>: curse or declare to be evil or anathema or threaten with divine punishment,<t>castrate</t>: a man who has been castrated and is incapable of reproduction
158895,dead,asleep,extinct,<t>Dead</t> large stash of drugs in a small piano,<t>asleep</t>: in a state of sleep,<t>extinct</t>: no longer in existence; lost or especially having died out leaving no living representatives
158897,purge,cleanse,ousting,<t>Purge</t> of Sophoclean sensibilities,"<t>cleanse</t>: clean one's body or parts thereof, as by washing",<t>ousting</t>: the act of ejecting someone or forcing them out
158901,relationship,fit,character,Short argument about <t>relationship</t>,<t>fit</t>: a display of bad temper,<t>character</t>: an imaginary person represented in a work of fiction (play or film or story)
158909,ship,trireme,longboat,Flag setter placed around Republican <t>ship</t>,<t>trireme</t>: ancient Greek or Roman galley or warship having three tiers of oars on each side,<t>longboat</t>: the largest boat carried by a merchant sailing vessel
158912,better,cap,yeastier,<t>Better</t> complain if queen’s blown off,<t>cap</t>: a tight-fitting headdress,<t>yeastier</t>: of or resembling or containing yeast
158923,crazy,bats,wicked,Start of bidding resting with south? More than one club’s <t>crazy</t>,<t>bats</t>: nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,<t>wicked</t>: morally bad in principle or practice
158939,at once,instantly,at_once,During visit takes in odd features of Natal <t>at once</t>,<t>instantly</t>: without delay or hesitation; with no time intervening,<t>at once</t>: without delay or hesitation; with no time intervening
158940,Shave,epilate,plumbs,<t>Shave</t> bit off fitness regime after start of exercises?,<t>epilate</t>: remove body hair,<t>plumbs</t>: the metal bob of a plumb line
158951,bromide,platitude,citrates,Penny has licence to provide <t>bromide</t>,<t>platitude</t>: a trite or obvious remark,<t>citrates</t>: a salt or ester of citric acid
158953,Colours,flag,foreshadow,<t>Colours</t> fade,<t>flag</t>: emblem usually consisting of a rectangular piece of cloth of distinctive design,<t>foreshadow</t>: indicate by signs
158953,fade,flag,waned,Colours <t>fade</t>,<t>flag</t>: emblem usually consisting of a rectangular piece of cloth of distinctive design,<t>waned</t>: grow smaller
158954,Thrash,trounce,crunch,<t>Thrash</t> counter-revolutionary?,<t>trounce</t>: beat severely with a whip or rod,<t>crunch</t>: the sound of something crunching
158956,pliant,lissome,sappy,Pupil is rather <t>pliant</t>,<t>lissome</t>: moving and bending with ease,"<t>sappy</t>: ludicrous, foolish"
158967,Cost,expense,credits,<t>Cost</t> of swans in the river,<t>expense</t>: amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures),<t>credits</t>: a list of acknowledgements of those who contributed to the creation of a film (usually run at the end of the film)
158971,Development,emergence,evasion,<t>Development</t> of endless crisis with Spain,<t>emergence</t>: the gradual beginning or coming forth,<t>evasion</t>: a statement that is not literally false but that cleverly avoids an unpleasant truth
158975,building,edifice,domed,Earl to risk concealing condition of <t>building</t>,<t>edifice</t>: a structure that has a roof and walls and stands more or less permanently in one place,<t>domed</t>: having a hemispherical vault or dome
158977,headgear,tiara,chokers,Portia rarely bears <t>headgear</t>,<t>tiara</t>: a jeweled headdress worn by women on formal occasions,<t>chokers</t>: someone who kills by strangling
158986,blue,azure,sea-green,Ezra Pound’s heart battered and <t>blue</t>,<t>azure</t>: a light shade of blue,<t>sea-green</t>: of the color of the sea; bluish green
158993,Educated,learned,taming,"<t>Educated</t> and beautiful, finally made some money",<t>learned</t>: gain knowledge or skills,<t>taming</t>: correct by punishment or discipline
158998,stories,anecdotes,epics,An EU precursor lavishes love <t>stories</t>,<t>anecdotes</t>: short account of an incident (especially a biographical one),<t>epics</t>: a long narrative poem telling of a hero's deeds
159003,books,apocrypha,file,Fresh approach covering the ultimate in cookery <t>books</t>,<t>apocrypha</t>: 14 books of the Old Testament included in the Vulgate (except for II Esdras) but omitted in Jewish and Protestant versions of the Bible; eastern Christian churches (except the Coptic Church) accept all these books as canonical; the Russian Orthodox Church accepts these texts as divinely inspired but does not grant them the same status,<t>file</t>: a set of related records (either written or electronic) kept together
159007,praise,extol,encomiums,Sexy amateur role essentially gets <t>praise</t>,"<t>extol</t>: praise, glorify, or honor",<t>encomiums</t>: a formal expression of praise
159012,study,read,sketches,Prepared contracts for <t>study</t>,<t>read</t>: something that is read,<t>sketches</t>: preliminary drawing for later elaboration
159022,Shunned,eschewed,chastened,<t>Shunned</t> key cut by vacuous ex-husband,<t>eschewed</t>: avoid and stay away from deliberately; stay clear of,<t>chastened</t>: censure severely
159023,aperitif,pastis,effluvium,Dad settles back for <t>aperitif</t>,<t>pastis</t>: similar to absinthe but containing no wormwood,<t>effluvium</t>: a foul-smelling outflow or vapor (especially a gaseous waste)
159027,father,begetter,successor,Implore me to dump son for <t>father</t>,<t>begetter</t>: a male parent (also used as a term of address to your father),<t>successor</t>: a person who follows next in order
159029,in private,aside,observant,Unclothed man content to use bidet <t>in private</t>,<t>aside</t>: a line spoken by an actor to the audience but not intended for others on the stage,<t>observant</t>: paying close attention especially to details
159104,tea,pekoe,beaujolais,"Keep exercising, taking in nothing for <t>tea</t>",<t>pekoe</t>: a superior grade of black tea; grown in India and Sri Lanka and Java,<t>beaujolais</t>: dry fruity light red wine drunk within a few months after it is made; from the Beaujolais district in southeastern France
159130,Cashier,annul,croupier,<t>Cashier</t> American finally quitting ring?,<t>annul</t>: declare invalid,<t>croupier</t>: someone who collects and pays bets at a gaming table
159137,Demands,exacts,license,<t>Demands</t> to see old religious text,<t>exacts</t>: claim as due or just,<t>license</t>: a legal document giving official permission to do something
159140,Unclaimed,ownerless,tendered,"<t>Unclaimed</t> lenses, worn, almost new",<t>ownerless</t>: having no owner,<t>tendered</t>: offer or present for acceptance
159177,Mean,involve,discountenance,"<t>Mean</t> at home, see love suffering",<t>involve</t>: connect closely and often incriminatingly,<t>discountenance</t>: look with disfavor on
159184,skin,birthday_suit,frill,Fashionable bit with dusty hair and <t>skin</t>,<t>birthday suit</t>: informal terms for nakedness,<t>frill</t>: (paleontology) a bony plate that curves upward behind the skull of many ceratopsian dinosaurs
159186,Bear,stomach,nobble,<t>Bear</t> cat in bag hunter’s opening,<t>stomach</t>: an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,<t>nobble</t>: deprive of by deceit
159188,Circle,coterie,hypotenuse,<t>Circle</t> lake bed first,<t>coterie</t>: an exclusive circle of people with a common purpose,<t>hypotenuse</t>: the side of a right triangle opposite the right angle
159192,Composition,sonata,syntax,<t>Composition</t> for soprano working with Australian tenor and alto,<t>sonata</t>: a musical composition of 3 or 4 movements of contrasting forms,<t>syntax</t>: the grammatical arrangement of words in sentences
159194,tenant,occupant,inhabitant,Oscar trophy found in tin by actor’s third <t>tenant</t>,<t>occupant</t>: someone who lives at a particular place for a prolonged period or who was born there,<t>inhabitant</t>: a person who inhabits a particular place
159198,wine,chardonnay,fortified_wine,Italian woman cautious about <t>wine</t>,<t>chardonnay</t>: white wine grape,<t>fortified wine</t>: wine to which alcohol (usually grape brandy) has been added
159201,Save,rescue,giving,<t>Save</t> soldiers with special signal,<t>rescue</t>: recovery or preservation from loss or danger,<t>giving</t>: the act of giving
159204,Mate,copulate,ass,<t>Mate</t> taking money into shelter,<t>copulate</t>: engage in sexual intercourse,<t>ass</t>: the fleshy part of the human body that you sit on
159210,fruit,pomegranate,developments,Old German revolutionary tucked into dish of <t>fruit</t>,<t>pomegranate</t>: shrub or small tree native to southwestern Asia having large red many-seeded fruit,<t>developments</t>: act of improving by expanding or enlarging or refining
159215,stew,ragout,stew,Cloth covering unacceptable <t>stew</t>,<t>ragout</t>: well-seasoned stew of meat and vegetables,<t>stew</t>: agitation resulting from active worry
159258,terminals,railheads,back_end,Rash idea involved taking hold of live <t>terminals</t>,<t>railheads</t>: a railroad depot in a theater of operations where military supplies are unloaded for distribution,<t>back end</t>: the side of an object that is opposite its front
159261,cavities,sinuses,daubs,Wrong milk leads to small <t>cavities</t>,<t>sinuses</t>: an abnormal passage leading from a suppurating cavity to the body surface,<t>daubs</t>: material used to daub walls
159281,Imply,predicate,reiterate,<t>Imply</t> some get a cider pack on way back,<t>predicate</t>: (logic) what is predicated of the subject of a proposition; the second term in a proposition is predicated of the first term by means of the copula,"<t>reiterate</t>: to say, state, or perform again"
159289,Forgo,waive,dishonoured,"<t>Forgo</t> gesture, by sound of it",<t>waive</t>: do without or cease to hold or adhere to,<t>dishonoured</t>: bring shame or dishonor upon
159300,rich,affluent,intricate,"Extremely aloof, graceful and <t>rich</t>",<t>affluent</t>: an affluent person; a person who is financially well off,<t>intricate</t>: having many complexly arranged elements; elaborate
159304,Impressive,monumental,agonistic,<t>Impressive</t> intellectual ringing round miners,<t>monumental</t>: relating or belonging to or serving as a monument,<t>agonistic</t>: of or relating to the athletic contests held in ancient Greece
159314,shape,octagon,styles,Start to fall off wagon after 31 days in <t>shape</t>,<t>octagon</t>: an eight-sided polygon,<t>styles</t>: how something is done or how it happens
159318,Serious,earnest,bodacious,<t>Serious</t> student stripped on street,<t>earnest</t>: something of value given by one person to another to bind a contract,<t>bodacious</t>: incorrigible
159330,weapon,scimitar,airgun,Wound round one with German <t>weapon</t>,<t>scimitar</t>: a curved oriental saber; the edge is on the convex side of the blade,<t>airgun</t>: a gun that propels a projectile by compressed air
159339,traitors,serpents,grifter,"President, being set back, dispatched head to back <t>traitors</t>",<t>serpents</t>: limbless scaly elongate reptile; some are venomous,<t>grifter</t>: a person who swindles you by means of deception or fraud
159348,books,balance_sheet,pages,Even up some rigging of <t>books</t>,<t>balance sheet</t>: a record of the financial situation of an institution on a particular date by listing its assets and the claims against those assets,<t>pages</t>: one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
159350,Cavalier,royalist,legionary,<t>Cavalier</t> Rovers player? Top celeb,<t>royalist</t>: an advocate of the principles of monarchy,<t>legionary</t>: a soldier who is a member of a legion (especially the French Foreign Legion)
159354,peninsula,cape,mound,Clumsy clot under cloudy <t>peninsula</t>,<t>cape</t>: a strip of land projecting into a body of water,<t>mound</t>: (baseball) the slight elevation on which the pitcher stands
159361,Superior,disdainful,munificent,"<t>Superior</t> papers rejected by lad, if Sun’s out",<t>disdainful</t>: expressing extreme contempt,<t>munificent</t>: very generous
159369,femme fatale,temptress,hoodwinks,Workers dressing very Gallic <t>femme fatale</t>,<t>temptress</t>: a woman who is considered to be dangerously seductive,<t>hoodwinks</t>: influence by slyness
159384,abounding,swarming,outweighed,Pipe in which heat <t>abounding</t>,"<t>swarming</t>: be teeming, be abuzz",<t>outweighed</t>: be heavier than
159388,desk,secretaire,antechambers,"Career set, I moved <t>desk</t>",<t>secretaire</t>: a desk used for writing,<t>antechambers</t>: a large entrance or reception room or area
159399,Dance,reel,tripping,<t>Dance</t> that’s proper for audition?,<t>reel</t>: a roll of photographic film holding a series of frames to be projected by a movie projector,<t>tripping</t>: miss a step and fall or nearly fall
159400,pub,watering_hole,henhouse,Total drinks miscalculated in great <t>pub</t>,<t>watering hole</t>: a health resort near a spring or at the seaside,<t>henhouse</t>: a farm building for housing poultry
159401,creative thinker,right_brain,helpmeet,Conservative supporter in <t>creative thinker</t>,<t>right brain</t>: the cerebral hemisphere to the right of the corpus callosum that controls the left half of the body,<t>helpmeet</t>: a helpful partner
159404,Dot,decimal_point,semicircle,<t>Dot</t> claimed woozy – nothing in drink?,<t>decimal point</t>: the dot at the left of a decimal fraction,<t>semicircle</t>: a plane figure with the shape of half a circle
159406,Train,choo-choo,casts,<t>Train</t> champ to speak repeatedly?,<t>choo-choo</t>: a child's word for locomotive,<t>casts</t>: the actors in a play
159407,Cut off,isolated,sealing,"<t>Cut off</t> deal, so it fails",<t>isolated</t>: place or set apart,<t>sealing</t>: the act of treating something to make it repel water
159410,Branch,limb,mitre,"<t>Branch</t> to ascend, not reaching the top",<t>limb</t>: one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper,<t>mitre</t>: joint that forms a corner; usually both sides are bevelled at a 45-degree angle to form a 90-degree corner
159472,data,statistics,transcript,They’re vital for those who model <t>data</t>,<t>statistics</t>: a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters,<t>transcript</t>: something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech
159473,Influence,pull,reaction,<t>Influence</t> university lecturer to visit public library,<t>pull</t>: the act of pulling; applying force to move something toward or with you,<t>reaction</t>: (chemistry) a process in which one or more substances are changed into others
159474,cocktail,cosmopolitan,sorbet,Sophisticated <t>cocktail</t>,<t>cosmopolitan</t>: a sophisticated person who has travelled in many countries,<t>sorbet</t>: an ice containing no milk but having a mushy consistency; usually made from fruit juice
159479,Summit,talks,pinnacle,<t>Summit</t> of tall chimney having opening at the back,<t>talks</t>: a discussion intended to produce an agreement,<t>pinnacle</t>: (architecture) a slender upright spire at the top of a buttress of tower
159480,indignation,outrage,lamentation,During power cut there is right <t>indignation</t>,<t>outrage</t>: a feeling of righteous anger,<t>lamentation</t>: a cry of sorrow and grief
159484,Piece of furniture,escritoire,consoles,<t>Piece of furniture</t> Eric’s damaged before suppressing anger,<t>escritoire</t>: a desk used for writing,<t>consoles</t>: a small table fixed to a wall or designed to stand against a wall
159488,Present,gratuity,remitted,<t>Present</t> from eccentric artist guy shunned by society,<t>gratuity</t>: a relatively small amount of money given for services rendered (as by a waiter),<t>remitted</t>: send (money) in payment
159494,colour,violet,miasma,No end of affection for intense <t>colour</t>,<t>violet</t>: any of numerous low-growing violas with small flowers,<t>miasma</t>: an unwholesome atmosphere
159509,Language,lingo,monologue,<t>Language</t> used in Berlin government,<t>lingo</t>: a characteristic language of a particular group (as among thieves),<t>monologue</t>: speech you make to yourself
159512,Killer,assassin,casualty,<t>Killer</t> of topless girls getting home,<t>assassin</t>: a murderer (especially one who kills a prominent political figure) who kills by a surprise attack and often is hired to do the deed,<t>casualty</t>: someone injured or killed or captured or missing in a military engagement
159514,cocaine,snow,benzoin,Partners attending opening of observatory with <t>cocaine</t>,<t>snow</t>: precipitation falling from clouds in the form of ice crystals,<t>benzoin</t>: gum resin used especially in treating skin irritation
159521,Choice,election,usages,<t>Choice</t> made by evangelical leader reading in church,<t>election</t>: a vote to select the winner of a position or political office,<t>usages</t>: the act of using
159525,Deposit,silt,rents,<t>Deposit</t> is returned to lieutenant,<t>silt</t>: mud or clay or small rocks deposited by a river or lake,"<t>rents</t>: a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service"
159526,Bird,cock,sparrows,<t>Bird</t> in small pile of hay,<t>cock</t>: obscene terms for penis,<t>sparrows</t>: any of several small dull-colored singing birds feeding on seeds or insects
159527,State,montana,condition,<t>State</t> how one works with leather in North America,<t>montana</t>: a state in northwestern United States on the Canadian border,<t>condition</t>: a state at a particular time
159536,Protest,sit_in,flaunt,<t>Protest</t> is about money,<t>sit in</t>: attend as a visitor,<t>flaunt</t>: the act of displaying something ostentatiously
159537,footwear,pumps,ski_mask,Turned up with member’s <t>footwear</t>,<t>pumps</t>: a mechanical device that moves fluid or gas by pressure or suction,<t>ski mask</t>: a woolen face mask to protect the face from cold while skiing on snow
159563,recently,lately,by_and_by,Deceased student unknown until <t>recently</t>,<t>lately</t>: in the recent past,<t>by and by</t>: at some eventual time in the future
